date,rank,product_name
2026-06-15,1,매실
2026-06-15,2,쌀20kg
2026-06-15,3,수박
2026-06-15,4,닭가슴살
2026-06-15,5,오메가3
2026-06-15,6,쌀10kg
2026-06-15,7,계란
2026-06-15,8,체리
2026-06-15,9,탄산수
2026-06-15,10,옥수수
2026-06-15,11,복분자
2026-06-15,12,살구
2026-06-15,13,참외
2026-06-15,14,촉촉한황치즈칩
2026-06-15,15,오디
2026-06-15,16,감자
2026-06-15,17,사과
2026-06-15,18,마그네슘
2026-06-15,19,생수
2026-06-15,20,야채도사
