product_name,itemcategorycode,itemcode,kindcode,productrankcode,countrycode,label,item_name,kind_name,rank_name,retail_unit_name,wholesale_unit_name
방울토마토,200,422,01,05,,방울토마토-방울토마토-중품,방울토마토,방울토마토,중품,1kg,5kg
방울토마토,200,422,01,07,,방울토마토-방울토마토-유기농,방울토마토,방울토마토,유기농,,
방울토마토,200,422,01,08,,방울토마토-방울토마토-무농약,방울토마토,방울토마토,무농약,,
방울토마토,200,422,02,04,,방울토마토-대추방울토마토-상품,방울토마토,대추방울토마토,상품,1kg,1kg
방울토마토,200,422,02,05,,방울토마토-대추방울토마토-중품,방울토마토,대추방울토마토,중품,1kg,1kg
복숭아,400,413,01,04,,복숭아-백도-상품,복숭아,백도,상품,10개,4kg
복숭아,400,413,01,05,,복숭아-백도-중품,복숭아,백도,중품,10개,4kg
복숭아,400,413,04,04,,복숭아-창방조생-상품,복숭아,창방조생,상품,10개,4kg
복숭아,400,413,04,05,,복숭아-창방조생-중품,복숭아,창방조생,중품,,4kg
복숭아,400,413,05,04,,복숭아-유명-상품,복숭아,유명,상품,10개,4kg
복숭아,400,413,05,05,,복숭아-유명-중품,복숭아,유명,중품,10개,4kg
블루베리,400,429,01,07,,블루베리-블루베리-유기농,블루베리,블루베리,유기농,,
블루베리,400,429,01,08,,블루베리-블루베리-무농약,블루베리,블루베리,무농약,,
사과,400,411,01,04,,사과-홍옥-상품,사과,홍옥,상품,10개,10kg
사과,400,411,01,05,,사과-홍옥-중품,사과,홍옥,중품,,10kg
사과,400,411,05,04,,사과-후지-상품,사과,후지,상품,10개,10kg
사과,400,411,05,05,,사과-후지-중품,사과,후지,중품,10개,10kg
사과,400,411,05,06,,사과-후지-하품,사과,후지,하품,,
사과,400,411,05,07,,사과-후지-유기농,사과,후지,유기농,,
사과,400,411,05,08,,사과-후지-무농약,사과,후지,무농약,,
사과,400,411,06,04,,사과-쓰가루(아오리)-상품,사과,쓰가루(아오리),상품,10개,10kg
