date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-06-02,pm,rising,naver_top200,궁채,궁채,53,51-100,173.0,120.0,up,▲ 120단계,N,N,2026-06-01,pm,173.0,1.0,7,14,21,53,189,124.0,NAVER_WARMING_FAST,92.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 21일 연속 등장,WARMING,high,관찰 강화,"궁채은 관심 형성 구간에 있는 후보입니다. 현재 53위이며, 순위 변화는 ▲ 120단계입니다.",agri,농산물 원물,농산물,N,,Top200_확장후보
2026-06-02,pm,rising,naver_top200,홍감자,홍감자,36,21-50,56.0,20.0,up,▲ 20단계,N,N,2026-06-01,pm,56.0,1.0,6,7,6,36,189,22.0,NAVER_RISING_FAST,87.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"홍감자은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 36위이며, 최근 7일 중 6일 등장했습니다.",agri,뿌리채소,농산물,N,,21~50_전량수집
2026-06-02,pm,rising,naver_top200,두리안,두리안,76,51-100,122.0,46.0,up,▲ 46단계,N,N,2026-06-01,pm,122.0,1.0,7,14,28,57,145,36.0,NAVER_WARMING_FAST,83.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 28일 연속 등장,WARMING,high,관찰 강화,"두리안은 관심 형성 구간에 있는 후보입니다. 현재 76위이며, 순위 변화는 ▲ 46단계입니다.",agri,농산물 원물,농산물,N,,Top200_확장후보
2026-06-02,pm,rising,naver_top200,황매실,황매실,75,51-100,137.0,62.0,up,▲ 62단계,N,N,2026-06-01,pm,137.0,1.0,3,3,3,75,144,69.0,NAVER_WARMING_FAST,81.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 3일 연속 등장,WARMING,high,관찰 강화,"황매실은 관심 형성 구간에 있는 후보입니다. 현재 75위이며, 순위 변화는 ▲ 62단계입니다.",agri,과일,농산물,N,,Top200_확장후보
2026-06-02,pm,rising,naver_top200,병아리콩,병아리콩,49,21-50,72.0,23.0,up,▲ 23단계,N,N,2026-06-01,pm,72.0,1.0,7,14,41,36,72,2.0,NAVER_RISING_FAST,77.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 7일 등장 · 41일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"병아리콩은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 49위이며, 최근 7일 중 7일 등장했습니다.",grain,콩/잡곡,농산물,N,,21~50_전량수집
2026-06-02,pm,rising,naver_top200,고구마,고구마,55,51-100,73.0,18.0,up,▲ 18단계,N,N,2026-06-01,pm,73.0,1.0,7,14,41,55,158,103.0,NAVER_WARMING_FAST,77.0,중위권 관심 형성 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 41일 연속 등장,WARMING,high,관찰 강화,"고구마은 관심 형성 구간에 있는 후보입니다. 현재 55위이며, 순위 변화는 ▲ 18단계입니다.",agri,뿌리채소,농산물,N,,Top200_확장후보
2026-06-02,pm,rising,naver_top200,체리,체리,37,21-50,39.0,2.0,up,▲ 2단계,N,N,2026-06-01,pm,39.0,1.0,7,14,28,34,99,11.0,NAVER_RISING,73.0,Top20 진입 직전 구간 · 최근 3일 상승 흐름 · 최근 7일 중 7일 등장 · 28일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"체리은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 37위이며, 최근 7일 중 7일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-06-02,pm,rising,naver_top200,신비복숭아,신비복숭아,60,51-100,69.0,9.0,up,▲ 9단계,N,N,2026-06-01,pm,69.0,1.0,7,13,9,60,195,58.0,NAVER_WARMING_FAST,72.0,중위권 관심 형성 구간 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 9일 연속 등장,WARMING,high,관찰 강화,"신비복숭아은 관심 형성 구간에 있는 후보입니다. 현재 60위이며, 순위 변화는 ▲ 9단계입니다.",agri,과일,농산물,N,,Top200_확장후보
2026-06-02,pm,rising,naver_top200,냉면,냉면,47,21-50,63.0,16.0,up,▲ 16단계,N,N,2026-06-01,pm,63.0,1.0,7,13,10,27,181,-20.0,NAVER_RISING,68.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 7일 등장 · 10일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"냉면은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 47위이며, 최근 7일 중 7일 등장했습니다.",processed,간편식/반찬,가공식품,N,,21~50_전량수집
2026-06-02,pm,rising,naver_top200,열무김치,열무김치,61,51-100,92.0,31.0,up,▲ 31단계,N,N,2026-06-01,pm,92.0,1.0,7,14,25,54,162,-7.0,NAVER_WARMING_FAST,67.6,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 7일 등장 · 25일 연속 등장,WARMING,high,관찰 강화,"열무김치은 관심 형성 구간에 있는 후보입니다. 현재 61위이며, 순위 변화는 ▲ 31단계입니다.",processed,김치/절임,가공식품,N,,Top200_확장후보
