product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
감자,2026-06-09,15062.6,18729.4,34000.0,3200.0,366305.0,701,680,21,9,11,3,37300.0,1000.0
개복숭아,2026-06-09,12201.9,13921.6,25000.0,6000.0,3399.0,29,26,3,9,13,2,26000.0,1200.0
고구마,2026-06-09,18194.1,19121.3,34000.0,5000.0,31470.0,122,118,4,1,1,1,35000.0,2000.0
냉동블루베리,2026-06-09,27206.1,27645.9,48000.0,9000.0,31078.8,2284,2147,137,31,71,6,73000.0,1000.0
당근,2026-06-09,20589.4,22163.1,29000.0,6500.0,180130.0,150,145,5,11,17,4,50000.0,3000.0
딸기,2026-06-09,15000.0,15000.0,15000.0,15000.0,8.0,2,2,0,1,1,1,15000.0,15000.0
마늘,2026-06-09,1950.0,1950.0,1950.0,1950.0,40.0,1,1,0,1,1,1,1950.0,1950.0
마늘쫑,2026-06-09,18182.1,16528.0,22050.0,12000.0,588.6,21,14,7,6,7,2,23300.0,1200.0
망고,2026-06-09,49772.5,41787.7,100000.0,23300.0,8626.0,247,234,13,13,19,8,120000.0,8000.0
매실,2026-06-09,20580.1,20564.3,48000.0,3500.0,246152.5,2884,2385,499,29,69,7,185000.0,0.0
매실10kg,2026-06-09,20580.1,20564.3,48000.0,3500.0,246152.5,2884,2385,499,29,69,7,185000.0,0.0
멜론,2026-06-09,24417.1,22948.3,41200.0,15000.0,4195.0,37,35,2,5,5,2,42000.0,11000.0
방울토마토,2026-06-09,6694.4,6954.7,18500.0,2000.0,41924.0,375,360,15,9,14,4,68000.0,800.0
복분자,2026-06-09,24000.0,24000.0,24000.0,24000.0,12.0,1,1,0,1,1,1,24000.0,24000.0
복숭아,2026-06-09,17293.1,18799.2,33000.0,4000.0,3843.5,115,109,6,7,9,3,43990.0,2500.0
블루베리,2026-06-09,27206.1,27645.9,48000.0,9000.0,31078.8,2284,2147,137,31,71,6,73000.0,1000.0
사과,2026-06-09,43056.7,34958.7,91800.0,18000.0,1450.0,9,9,0,2,2,1,91800.0,18000.0
산딸기,2026-06-09,7239.1,7565.5,14600.0,2500.0,17058.6,900,879,21,26,53,5,38000.0,1000.0
살구,2026-06-09,25171.5,25750.1,66000.0,6000.0,18203.5,613,580,33,29,55,11,90000.0,1800.0
수박,2026-06-09,14250.4,15069.3,32000.0,3500.0,683256.5,1804,1747,57,18,26,18,135000.0,500.0
양파,2026-06-09,8892.0,9449.4,13700.0,2500.0,984521.0,830,808,22,26,45,6,512000.0,1400.0
오디,2026-06-09,9012.3,8087.7,32000.0,2500.0,4596.7,201,138,63,22,35,4,120000.0,0.0
오렌지,2026-06-09,87000.0,87000.0,87000.0,87000.0,5.0,1,1,0,1,1,1,87000.0,87000.0
오이,2026-06-09,15833.3,9045.9,23000.0,5500.0,741.0,3,3,0,1,1,1,23000.0,5500.0
옥수수,2026-06-09,13000.0,13000.0,13000.0,13000.0,432.0,1,1,0,1,1,1,13000.0,13000.0
자두,2026-06-09,13057.1,16617.7,28000.0,6200.0,141.0,7,7,0,2,2,1,28000.0,6200.0
찰옥수수,2026-06-09,27865.7,29795.2,35000.0,10000.0,14320.0,45,35,10,4,5,2,37000.0,410.0
참외,2026-06-09,18865.0,20503.2,36600.0,6000.0,171597.0,2958,2888,70,9,15,6,47500.0,3000.0
참외10kg,2026-06-09,18865.0,20503.2,36600.0,6000.0,171597.0,2958,2888,70,9,15,6,47500.0,3000.0
청매실,2026-06-09,14183.8,14858.0,25000.0,3300.0,6139.0,90,80,10,4,5,1,36100.0,1600.0
체리,2026-06-09,91114.8,106982.3,150000.0,18900.0,6515.0,210,131,79,16,19,5,178000.0,1000.0
토마토,2026-06-09,7339.8,7307.4,19500.0,2000.0,347242.0,2456,2384,72,27,49,12,36600.0,0.0
호랑이콩,2026-06-09,30391.3,32640.1,59100.0,8000.0,15494.3,239,234,5,16,23,3,71000.0,4000.0
홍감자,2026-06-09,15455.4,18280.7,35500.0,3000.0,30918.0,184,168,16,11,14,5,37000.0,1000.0
홍매실,2026-06-09,22120.0,19135.8,39000.0,6000.0,405.0,17,10,7,6,6,1,43000.0,1000.0
