date,rank,product_name,slot,search_ratio,shopping_ratio
2026-06-09,1,매실,pm,81.90647,100.0
2026-06-09,2,쌀10kg,pm,29.94004,64.26307
2026-06-09,3,닭가슴살,pm,91.39088,61.72741
2026-06-09,4,쌀20kg,pm,24.26858,60.45958
2026-06-09,5,오메가3,pm,82.01438,60.06339
2026-06-09,6,수박,pm,57.06718,73.42823
2026-06-09,7,오디,pm,71.18762,71.293
2026-06-09,8,감자,pm,46.45943,70.10676
2026-06-09,9,산딸기,pm,61.8344,68.68327
2026-06-09,10,히카마,pm,56.66294,66.66666
2026-06-09,11,참외,pm,44.23468,66.66666
2026-06-09,12,비타민c,pm,60.94762,65.59139
2026-06-09,13,계란,pm,81.82491,64.27718
2026-06-09,14,탄산수,pm,40.66259,63.91875
2026-06-09,15,마그네슘,pm,66.0744,63.20191
2026-06-09,16,올리브오일,pm,50.70539,63.26781
2026-06-09,17,완두콩,pm,19.86168,63.14496
2026-06-09,18,그릭요거트,pm,49.11479,62.89926
2026-06-09,19,두유,pm,27.12309,62.03931
2026-06-09,20,블루베리,pm,100.0,62.03931
