product_name,auction_date,variety_name,unit_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,raw_high_price,raw_low_price
토마토,2026-06-09,흑토마토,kg,5685.9,13000.0,3000.0,8102.0,63,61,2,7,14000.0,2500.0
토마토,2026-06-09,완숙토마토,kg,7352.2,9500.0,2500.0,7025.0,54,53,1,1,9500.0,2000.0
토마토,2026-06-09,토마토(토마토),kg,6531.2,12000.0,4000.0,3205.0,25,24,1,1,13000.0,4000.0
토마토,2026-06-09,토마토일반,kg,9343.3,17000.0,4000.0,2425.0,23,22,1,1,18000.0,4000.0
토마토,2026-06-09,토마토대저,kg,6431.6,18000.0,2000.0,1187.5,35,33,2,1,19000.0,1000.0
토마토,2026-06-09,대저토마토,kg,3810.8,12000.0,1500.0,627.5,22,20,2,1,13000.0,1000.0
토마토,2026-06-09,흑토마토(토마토),kg,5000.0,5000.0,5000.0,576.0,3,3,0,1,5000.0,5000.0
토마토,2026-06-09,흙토마토(흑토마토),kg,6951.6,7000.0,6500.0,248.0,5,5,0,1,7000.0,6500.0
호랑이콩,2026-06-09,호랑이콩,kg,32491.9,43000.0,9400.0,7742.0,141,138,3,14,59100.0,8000.0
호랑이콩,2026-06-09,(호랑이콩)강낭콩,kg,33129.0,70000.0,8000.0,7216.3,90,87,3,1,71000.0,4000.0
호랑이콩,2026-06-09,콩(호랑이콩),kg,37532.6,39000.0,32000.0,552.0,8,8,0,1,39000.0,32000.0
홍감자,2026-06-09,감자(홍),kg,20269.6,36000.0,3000.0,21628.0,72,61,11,2,37000.0,1000.0
홍감자,2026-06-09,홍감자,kg,15096.9,30000.0,4000.0,7850.0,73,68,5,7,31000.0,1300.0
홍감자,2026-06-09,(홍)감자,kg,18278.3,24000.0,6000.0,1060.0,19,16,3,1,24500.0,3000.0
홍감자,2026-06-09,감자(홍감자),kg,21581.8,33600.0,14000.0,880.0,10,9,1,2,33600.0,3000.0
홍감자,2026-06-09,적감자,kg,19914.9,25000.0,5000.0,470.0,10,9,1,1,25000.0,2500.0
홍매실,2026-06-09,홍매실,kg,19135.8,39000.0,6000.0,405.0,17,10,7,6,43000.0,1000.0
