date,rank,product_name,,
2026-05-15,1,쌀20kg,,
2026-05-15,2,닭가슴살,,
2026-05-15,3,오메가3,,
2026-05-15,4,쌀10kg,,
2026-05-15,5,참외,,
2026-05-15,6,꽃게,,
2026-05-15,7,수박,,
2026-05-15,8,마늘쫑,,
2026-05-15,9,콘드로이친,,
2026-05-15,10,생수,,
2026-05-15,11,사과,,
2026-05-15,12,올리브오일,,
2026-05-15,13,마그네슘,,
2026-05-15,14,블루베리,,
2026-05-15,15,탄산수,,
2026-05-15,16,콜라겐,,
2026-05-15,17,뉴케어구수한맛,,
2026-05-15,18,비타민c,,
2026-05-15,19,카무트효소,,
2026-05-15,20,뉴케어,,
