date,rank,product_name
2026-05-25,1,쌀20kg
2026-05-25,2,매실
2026-05-25,3,쌀10kg
2026-05-25,4,닭가슴살
2026-05-25,5,탄산수
2026-05-25,6,수박
2026-05-25,7,오메가3
2026-05-25,8,참외
2026-05-25,9,창억떡
2026-05-25,10,블루베리
2026-05-25,11,마늘쫑
2026-05-25,12,마그네슘
2026-05-25,13,참외10kg
2026-05-25,14,생수
2026-05-25,15,올리브오일
2026-05-25,16,계란
2026-05-25,17,콜라겐
2026-05-25,18,카무트효소
2026-05-25,19,루테인
2026-05-25,20,완두콩
