product_name,period,shopping_ratio,shopping_keywords
bnr17유산균,2026-04-16,45.91836,bnr17유산균
bnr17유산균,2026-04-17,47.7551,bnr17유산균
bnr17유산균,2026-04-18,45.30612,bnr17유산균
bnr17유산균,2026-04-19,54.89795,bnr17유산균
bnr17유산균,2026-04-20,42.44897,bnr17유산균
bnr17유산균,2026-04-21,51.0204,bnr17유산균
bnr17유산균,2026-04-22,30.81632,bnr17유산균
bnr17유산균,2026-04-23,27.34693,bnr17유산균
bnr17유산균,2026-04-24,55.5102,bnr17유산균
bnr17유산균,2026-04-25,32.85714,bnr17유산균
bnr17유산균,2026-04-26,100,bnr17유산균
bnr17유산균,2026-04-27,37.55102,bnr17유산균
bnr17유산균,2026-04-28,44.08163,bnr17유산균
bnr17유산균,2026-04-29,42.04081,bnr17유산균
cca주스,2026-04-16,43.21705,cca주스
cca주스,2026-04-17,33.13953,cca주스
cca주스,2026-04-18,42.63565,cca주스
cca주스,2026-04-19,44.96124,cca주스
cca주스,2026-04-20,47.86821,cca주스
cca주스,2026-04-21,45.34883,cca주스
cca주스,2026-04-22,39.34108,cca주스
cca주스,2026-04-23,36.04651,cca주스
cca주스,2026-04-24,40.50387,cca주스
cca주스,2026-04-25,27.90697,cca주스
cca주스,2026-04-26,92.24806,cca주스
cca주스,2026-04-27,44.96124,cca주스
cca주스,2026-04-28,41.08527,cca주스
cca주스,2026-04-29,48.06201,cca주스
la갈비,2026-04-16,25.3541,la갈비
la갈비,2026-04-17,17.98866,la갈비
la갈비,2026-04-18,15.29745,la갈비
la갈비,2026-04-19,21.3881,la갈비
la갈비,2026-04-20,34.70254,la갈비
la갈비,2026-04-21,32.71954,la갈비
la갈비,2026-04-22,31.16147,la갈비
la갈비,2026-04-23,21.24645,la갈비
la갈비,2026-04-24,28.61189,la갈비
la갈비,2026-04-25,26.20396,la갈비
la갈비,2026-04-26,55.80736,la갈비
la갈비,2026-04-27,51.27478,la갈비
la갈비,2026-04-28,38.38526,la갈비
la갈비,2026-04-29,43.05949,la갈비
가리비,2026-04-16,36.53061,가리비
가리비,2026-04-17,27.7551,가리비
가리비,2026-04-18,13.67346,가리비
가리비,2026-04-19,8.97959,가리비
