date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-21,1,쌀20kg,pm,26.34313,93.91304
2026-04-21,2,오메가3,pm,97.59009,90.72463
2026-04-21,3,참외,pm,39.39862,84.44444
2026-04-21,4,닭가슴살,pm,86.06013,79.22705
2026-04-21,5,쌀10kg,pm,26.05571,74.7826
2026-04-21,6,촉촉한황치즈칩,pm,76.4794,74.87126
2026-04-21,7,창억떡,pm,67.83306,71.57569
2026-04-21,8,두릅,pm,30.71874,70.64881
2026-04-21,9,비타민c,pm,17.79917,66.42636
2026-04-21,10,사과,pm,11.23952,62.51287
2026-04-21,11,마늘쫑,pm,18.94806,88.70481
2026-04-21,12,엄나무순,pm,78.33914,84.33734
2026-04-21,13,레몬즙,pm,16.03617,79.66867
2026-04-21,14,올리브오일,pm,35.33266,79.51807
2026-04-21,15,알부민,pm,45.40401,79.21686
2026-04-21,16,임박,pm,7.83853,75.10917
2026-04-21,17,생수,pm,61.53485,74.2358
2026-04-21,18,꽃게,pm,75.38136,72.63464
2026-04-21,19,마그네슘,pm,92.34921,72.48908
2026-04-21,20,구운계란,pm,63.38887,70.88791
