date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-20,1,오메가3,am,97.04967,99.23002
2026-04-20,2,닭가슴살,am,89.95815,85.56304
2026-04-20,3,쌀20kg,am,24.79347,83.92685
2026-04-20,4,쌀10kg,am,29.05267,82.48315
2026-04-20,5,두릅,am,95.16146,74.39846
2026-04-20,6,참외,am,11.6407,79.60042
2026-04-20,7,창억떡,am,64.51732,73.18611
2026-04-20,8,마그네슘,am,13.83592,71.39852
2026-04-20,9,비타민c,am,16.28625,70.13669
2026-04-20,10,알부민,am,23.82183,69.82124
2026-04-20,11,사과,am,38.13833,77.64227
2026-04-20,12,엄나무순,am,98.9943,77.64227
2026-04-20,13,올리브오일,am,49.33512,74.93224
2026-04-20,14,꽃게,am,38.39535,74.52574
2026-04-20,15,임박,am,4.14571,73.30623
2026-04-20,16,콘드로이친,am,50.35319,84.21875
2026-04-20,17,카무트효소,am,37.87379,80.9375
2026-04-20,18,레몬즙,am,23.44007,80.46875
2026-04-20,19,생수,am,31.1043,80.0
2026-04-20,20,두유,am,26.92488,76.71875
