date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-27,1,닭가슴살,pm,86.19279,51.6298
2026-04-27,2,사과,pm,33.93765,49.35972
2026-04-27,3,오메가3,pm,85.29736,48.83585
2026-04-27,4,쌀20kg,pm,26.45368,48.54481
2026-04-27,5,쌀10kg,pm,29.07362,47.03143
2026-04-27,6,창억떡,pm,71.6279,59.87158
2026-04-27,7,마늘쫑,pm,12.82945,58.58747
2026-04-27,8,참외,pm,14.30663,57.14285
2026-04-27,9,마그네슘,pm,16.236,46.95024
2026-04-27,10,꽃게,pm,13.07062,45.18459
2026-04-27,11,콜라겐,pm,7.72788,46.2171
2026-04-27,12,뉴케어,pm,12.62996,45.3125
2026-04-27,13,생수,pm,9.37998,44.81907
2026-04-27,14,감자,pm,6.7902,44.16118
2026-04-27,15,촉촉한황치즈칩,pm,40.74759,43.33881
2026-04-27,16,망고,pm,51.64131,48.25046
2026-04-27,17,올리브오일,pm,75.06004,47.51381
2026-04-27,18,임박,pm,5.98478,47.23756
2026-04-27,19,계란,pm,85.72858,45.94843
2026-04-27,20,탄산수,pm,37.06965,45.67219
