date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-28,am,rising,naver_top200,75.0,51-100,땅콩버터,유제품,가공식품,,N,40.54431,45.41284
2026-04-28,am,rising,naver_top200,76.0,51-100,토마토,Top200_확장후보,농산물,,N,60.89096,51.95035
2026-04-28,am,rising,naver_top200,77.0,51-100,단백질쉐이크,브랜드상품,브랜드_완제품,,Y,91.16809,51.24113
2026-04-28,am,rising,naver_top200,78.0,51-100,레모너리,건강식품,건강식품,,Y,39.60113,50.53191
2026-04-28,am,rising,naver_top200,79.0,51-100,새조개,Top200_확장후보,수산물,,N,45.16964,50.53191
2026-04-28,am,rising,naver_top200,80.0,51-100,밀크씨슬,건강식품,건강식품,,Y,46.49054,50.3546
2026-04-28,am,rising,naver_top200,81.0,51-100,정관장에브리타임,브랜드상품,브랜드_완제품,,Y,20.26559,42.46987
2026-04-28,am,rising,naver_top200,82.0,51-100,당근,Top200_확장후보,농산물,,N,89.33963,42.31927
2026-04-28,am,rising,naver_top200,83.0,51-100,명가삼대떡집,브랜드상품,브랜드_완제품,,Y,17.51864,42.31927
2026-04-28,am,rising,naver_top200,84.0,51-100,햇반,브랜드상품,브랜드_완제품,,Y,26.16881,42.31927
2026-04-28,am,rising,naver_top200,85.0,51-100,참외10kg,Top200_확장후보,농산물,,N,1.9647,42.16867
2026-04-28,am,rising,naver_top200,86.0,51-100,취나물,Top200_확장후보,농산물,,N,71.2237,42.40121
2026-04-28,am,rising,naver_top200,87.0,51-100,양배추즙,착즙_건강음료,가공식품,,N,46.46271,42.09726
2026-04-28,am,rising,naver_top200,88.0,51-100,다크초콜릿,Top200_확장후보,수입원재료,,N,50.57361,41.94528
2026-04-28,am,rising,naver_top200,89.0,51-100,수향미10kg,농산_가공식품,가공식품,,N,55.21032,41.79331
2026-04-28,am,rising,naver_top200,90.0,51-100,하루견과,브랜드상품,브랜드_완제품,,Y,70.55449,41.64133
2026-04-28,am,rising,naver_top200,91.0,51-100,멀티비타민,건강식품,건강식품,,Y,39.89304,33.62068
