date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-22,1,쌀20kg,pm,7.99493,92.46376
2026-04-22,2,오메가3,pm,28.6824,87.05314
2026-04-22,3,닭가슴살,pm,23.68807,78.93719
2026-04-22,4,촉촉한황치즈칩,pm,100.0,76.71497
2026-04-22,5,쌀10kg,pm,6.97806,76.61835
2026-04-22,6,참외,pm,11.98145,77.03398
2026-04-22,7,마늘쫑,pm,8.03638,67.45623
2026-04-22,8,두릅,pm,29.1029,66.52935
2026-04-22,9,비타민c,pm,16.75762,65.70545
2026-04-22,10,창억떡,pm,62.30426,64.36663
2026-04-22,11,임박,pm,8.33137,89.95633
2026-04-22,12,마그네슘,pm,89.97887,88.79184
2026-04-22,13,콜라겐,pm,53.64937,82.67831
2026-04-22,14,감자,pm,55.17484,81.36826
2026-04-22,15,샐러드,pm,64.42149,81.2227
2026-04-22,16,사과,pm,41.10703,73.44173
2026-04-22,17,꽃게,pm,42.45802,69.78319
2026-04-22,18,생수,pm,31.83368,69.78319
2026-04-22,19,알파cd,pm,41.36935,68.69918
2026-04-22,20,쭈꾸미,pm,66.36935,67.61517
