product_name,auction_date,variety_name,unit_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,market_count
감자,2026-04-29,햇감자,kg,61764.0,76500.0,10000.0,87156.0,75,1
감자,2026-04-29,감자,kg,65905.6,77000.0,11000.0,84950.0,167,3
감자,2026-04-29,감자(일반),kg,70269.3,75000.0,30000.0,11660.0,17,1
사과,2026-04-29,사과,kg,71439.8,146000.0,20000.0,880.0,33,1
오이,2026-04-29,오이기타,kg,22000.0,22000.0,22000.0,100.0,1,1
참외,2026-04-29,참외,kg,52586.5,76000.0,13500.0,103835.0,2168,9
참외,2026-04-29,꿀스타,kg,56144.0,76500.0,16500.0,9620.0,103,1
참외,2026-04-29,알찬꿀,kg,45795.9,58000.0,20000.0,1470.0,58,1
