product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
딸기,wholesale,200,226,00,05,딸기,딸기,중품,2kg,딸기,딸기(2kg),대전,오정도매,2026,04/28,"10,600",2026-04-28,2026-04-28,10600.0
딸기,wholesale,200,226,00,07,딸기,딸기,유기농,,딸기,딸기(2kg),대전,오정도매,2026,04/28,"15,000",2026-04-28,2026-04-28,15000.0
딸기,wholesale,200,226,00,08,딸기,딸기,무농약,,딸기,딸기(2kg),대전,오정도매,2026,04/28,"10,600",2026-04-28,2026-04-28,10600.0
망고,retail,400,428,00,04,망고,수입,상품,1개,망고,수입(1개),제주,E-유통,2026,04/28,"3,990",2026-04-28,2026-04-28,3990.0
망고,wholesale,400,428,00,04,망고,수입,상품,5kg,망고,수입(5kg),대전,오정도매,2026,04/28,"42,500",2026-04-28,2026-04-28,42500.0
망고,wholesale,400,428,00,05,망고,수입,중품,5kg,망고,수입(5kg),대전,오정도매,2026,04/28,"38,000",2026-04-28,2026-04-28,38000.0
방울토마토,retail,200,422,01,04,방울토마토,방울토마토,상품,1kg,방울토마토,방울토마토(1kg),김해,A-유통,2026,04/28,"11,900",2026-04-28,2026-04-28,11900.0
방울토마토,retail,200,422,01,07,방울토마토,방울토마토,유기농,,방울토마토,방울토마토(1kg),김해,A-유통,2026,04/28,"11,900",2026-04-28,2026-04-28,11900.0
방울토마토,retail,200,422,02,04,방울토마토,대추방울토마토,상품,1kg,방울토마토,대추방울토마토(1kg),제주,E-유통,2026,04/28,"5,320",2026-04-28,2026-04-28,5320.0
방울토마토,wholesale,200,422,02,04,방울토마토,대추방울토마토,상품,1kg,방울토마토,대추방울토마토(1kg),대전,오정도매,2026,04/28,"5,460",2026-04-28,2026-04-28,5460.0
방울토마토,wholesale,200,422,02,05,방울토마토,대추방울토마토,중품,1kg,방울토마토,대추방울토마토(1kg),대전,오정도매,2026,04/28,"4,460",2026-04-28,2026-04-28,4460.0
사과,retail,400,411,05,04,사과,후지,상품,10개,사과,후지(10개),제주,E-유통,2026,04/28,"23,900",2026-04-28,2026-04-28,23900.0
사과,retail,400,411,05,05,사과,후지,중품,10개,사과,후지(10개),제주,E-유통,2026,04/28,"19,900",2026-04-28,2026-04-28,19900.0
사과,retail,400,411,05,07,사과,후지,유기농,,사과,후지(10개),제주,E-유통,2026,04/28,"23,900",2026-04-28,2026-04-28,23900.0
사과,retail,400,411,05,08,사과,후지,무농약,,사과,후지(10개),제주,E-유통,2026,04/28,"19,900",2026-04-28,2026-04-28,19900.0
사과,wholesale,400,411,05,04,사과,후지,상품,10kg,사과,후지(10kg),대전,오정도매,2026,04/28,"73,300",2026-04-28,2026-04-28,73300.0
사과,wholesale,400,411,05,05,사과,후지,중품,10kg,사과,후지(10kg),대전,오정도매,2026,04/28,"67,300",2026-04-28,2026-04-28,67300.0
사과,wholesale,400,411,05,07,사과,후지,유기농,,사과,후지(10kg),대전,오정도매,2026,04/28,"73,300",2026-04-28,2026-04-28,73300.0
