date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-25,1,오메가3,pm,24.23933,68.59903
2026-04-25,2,닭가슴살,pm,13.44963,63.1884
2026-04-25,3,쌀20kg,pm,6.22249,61.64251
2026-04-25,4,쌀10kg,pm,5.56547,60.67632
2026-04-25,5,촉촉한황치즈칩,pm,43.51278,58.26086
2026-04-25,6,참외,pm,10.24991,63.93972
2026-04-25,7,창억떡,pm,48.66981,63.61679
2026-04-25,8,콜라겐,pm,8.10779,55.75888
2026-04-25,9,마늘쫑,pm,8.96387,54.68245
2026-04-25,10,올리브오일,pm,14.29997,50.91496
2026-04-25,11,사과,pm,24.82261,59.48509
2026-04-25,12,망고,pm,25.7757,58.67208
2026-04-25,13,비타민c,pm,35.03124,58.53658
2026-04-25,14,엄나무순,pm,56.4651,57.85907
2026-04-25,15,콘드로이친,pm,39.15069,57.72357
2026-04-25,16,뉴케어,pm,29.8573,60.84425
2026-04-25,17,탄산수,pm,13.28189,60.69868
2026-04-25,18,마그네슘,pm,22.43238,60.11644
2026-04-25,19,임박,pm,1.72556,57.20524
2026-04-25,20,알부민,pm,30.58735,56.76855
