date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-26,1,오메가3,pm,26.55764,100.0
2026-04-26,2,쌀20kg,pm,9.10591,86.84516
2026-04-26,3,쌀10kg,pm,8.14234,84.51688
2026-04-26,4,닭가슴살,pm,22.69184,83.81839
2026-04-26,5,창억떡,pm,49.49902,72.52619
2026-04-26,6,콜라겐,pm,57.31049,100.0
2026-04-26,7,참외,pm,69.25604,95.88815
2026-04-26,8,마늘쫑,pm,57.24008,94.90131
2026-04-26,9,마그네슘,pm,72.23656,89.47368
2026-04-26,10,탄산수,pm,43.67519,89.30921
2026-04-26,11,뉴케어,pm,77.91583,100.0
2026-04-26,12,콘드로이친,pm,94.18837,98.70129
2026-04-26,13,올리브오일,pm,74.82965,95.91836
2026-04-26,14,비타민c,pm,79.19839,95.5473
2026-04-26,15,망고,pm,54.14829,91.46567
2026-04-26,16,사과,pm,8.42316,100.0
2026-04-26,17,촉촉한황치즈칩,pm,33.833,99.3865
2026-04-26,18,감자,pm,5.81743,97.13701
2026-04-26,19,생수,pm,7.83632,95.70552
2026-04-26,20,레몬즙,pm,5.00414,90.38854
