product_name,period,shopping_ratio,shopping_keywords
bnr17유산균,2026-04-13,40.2834,bnr17유산균
bnr17유산균,2026-04-14,48.98785,bnr17유산균
bnr17유산균,2026-04-15,42.10526,bnr17유산균
bnr17유산균,2026-04-16,45.54655,bnr17유산균
bnr17유산균,2026-04-17,47.36842,bnr17유산균
bnr17유산균,2026-04-18,44.93927,bnr17유산균
bnr17유산균,2026-04-19,54.45344,bnr17유산균
bnr17유산균,2026-04-20,42.10526,bnr17유산균
bnr17유산균,2026-04-21,50.60728,bnr17유산균
bnr17유산균,2026-04-22,30.5668,bnr17유산균
bnr17유산균,2026-04-23,27.1255,bnr17유산균
bnr17유산균,2026-04-24,55.06072,bnr17유산균
bnr17유산균,2026-04-25,32.59109,bnr17유산균
bnr17유산균,2026-04-26,99.19028,bnr17유산균
cca주스,2026-04-13,50.41152,cca주스
cca주스,2026-04-14,47.94238,cca주스
cca주스,2026-04-15,43.20987,cca주스
cca주스,2026-04-16,45.88477,cca주스
cca주스,2026-04-17,35.18518,cca주스
cca주스,2026-04-18,45.26748,cca주스
cca주스,2026-04-19,47.73662,cca주스
cca주스,2026-04-20,50.82304,cca주스
cca주스,2026-04-21,48.14814,cca주스
cca주스,2026-04-22,41.76954,cca주스
cca주스,2026-04-23,38.2716,cca주스
cca주스,2026-04-24,43.00411,cca주스
cca주스,2026-04-25,29.62962,cca주스
cca주스,2026-04-26,97.94238,cca주스
la갈비,2026-04-13,49.4382,la갈비
la갈비,2026-04-14,47.41573,la갈비
la갈비,2026-04-15,41.79775,la갈비
la갈비,2026-04-16,40.22471,la갈비
la갈비,2026-04-17,28.53932,la갈비
la갈비,2026-04-18,24.26966,la갈비
la갈비,2026-04-19,33.93258,la갈비
la갈비,2026-04-20,55.05617,la갈비
la갈비,2026-04-21,51.91011,la갈비
la갈비,2026-04-22,49.4382,la갈비
la갈비,2026-04-23,33.70786,la갈비
la갈비,2026-04-24,45.39325,la갈비
la갈비,2026-04-25,41.57303,la갈비
la갈비,2026-04-26,88.53932,la갈비
mbp,2026-04-13,17.19576,mbp
mbp,2026-04-14,13.75661,mbp
mbp,2026-04-15,46.03174,mbp
mbp,2026-04-16,49.20634,mbp
mbp,2026-04-17,30.15873,mbp
mbp,2026-04-18,31.21693,mbp
mbp,2026-04-19,45.23809,mbp
mbp,2026-04-20,66.40211,mbp
mbp,2026-04-21,46.03174,mbp
mbp,2026-04-22,44.17989,mbp
mbp,2026-04-23,34.65608,mbp
mbp,2026-04-24,61.37566,mbp
mbp,2026-04-25,33.06878,mbp
mbp,2026-04-26,98.94179,mbp
가시오가피순,2026-04-13,34.7176,가시오가피순
가시오가피순,2026-04-14,39.36877,가시오가피순
가시오가피순,2026-04-15,42.85714,가시오가피순
가시오가피순,2026-04-16,50.33222,가시오가피순
가시오가피순,2026-04-17,42.3588,가시오가피순
가시오가피순,2026-04-18,49.83388,가시오가피순
가시오가피순,2026-04-19,49.00332,가시오가피순
가시오가피순,2026-04-20,50.49833,가시오가피순
가시오가피순,2026-04-21,51.16279,가시오가피순
가시오가피순,2026-04-22,47.17607,가시오가피순
가시오가피순,2026-04-23,46.84385,가시오가피순
가시오가피순,2026-04-24,43.52159,가시오가피순
가시오가피순,2026-04-25,45.51495,가시오가피순
가시오가피순,2026-04-26,97.34219,가시오가피순
가죽나물,2026-04-13,55.76131,가죽나물
가죽나물,2026-04-14,70.57613,가죽나물
가죽나물,2026-04-15,60.28806,가죽나물
가죽나물,2026-04-16,68.93004,가죽나물
가죽나물,2026-04-17,66.4609,가죽나물
가죽나물,2026-04-18,60.49382,가죽나물
가죽나물,2026-04-19,67.90123,가죽나물
가죽나물,2026-04-20,84.36213,가죽나물
가죽나물,2026-04-21,61.31687,가죽나물
가죽나물,2026-04-22,61.52263,가죽나물
가죽나물,2026-04-23,61.72839,가죽나물
가죽나물,2026-04-24,53.29218,가죽나물
가죽나물,2026-04-25,57.20164,가죽나물
가죽나물,2026-04-26,99.17695,가죽나물
감자,2026-04-13,45.80777,감자
감자,2026-04-14,41.20654,감자
감자,2026-04-15,48.67075,감자
감자,2026-04-16,42.43353,감자
감자,2026-04-17,45.70552,감자
감자,2026-04-18,35.17382,감자
감자,2026-04-19,32.51533,감자
감자,2026-04-20,48.05725,감자
감자,2026-04-21,46.62576,감자
감자,2026-04-22,57.15746,감자
감자,2026-04-23,43.55828,감자
감자,2026-04-24,37.83231,감자
감자,2026-04-25,33.02658,감자
감자,2026-04-26,97.13701,감자
강황가루,2026-04-13,39.81481,강황가루
강황가루,2026-04-14,35.41666,강황가루
강황가루,2026-04-15,36.11111,강황가루
강황가루,2026-04-16,30.32407,강황가루
강황가루,2026-04-17,31.71296,강황가루
강황가루,2026-04-18,39.81481,강황가루
강황가루,2026-04-19,39.35185,강황가루
강황가루,2026-04-20,40.04629,강황가루
강황가루,2026-04-21,35.87962,강황가루
강황가루,2026-04-22,40.50925,강황가루
강황가루,2026-04-23,28.93518,강황가루
강황가루,2026-04-24,41.2037,강황가루
강황가루,2026-04-25,35.18518,강황가루
강황가루,2026-04-26,99.07407,강황가루
검은콩두유,2026-04-13,46.96132,검은콩두유
검은콩두유,2026-04-14,51.9337,검은콩두유
검은콩두유,2026-04-15,46.68508,검은콩두유
검은콩두유,2026-04-16,43.09392,검은콩두유
검은콩두유,2026-04-17,48.34254,검은콩두유
검은콩두유,2026-04-18,32.59668,검은콩두유
검은콩두유,2026-04-19,43.09392,검은콩두유
검은콩두유,2026-04-20,52.20994,검은콩두유
검은콩두유,2026-04-21,43.37016,검은콩두유
검은콩두유,2026-04-22,41.43646,검은콩두유
검은콩두유,2026-04-23,50.82872,검은콩두유
검은콩두유,2026-04-24,38.39779,검은콩두유
검은콩두유,2026-04-25,37.01657,검은콩두유
검은콩두유,2026-04-26,98.89502,검은콩두유
견과류,2026-04-13,56.02409,견과류
견과류,2026-04-14,49.39759,견과류
견과류,2026-04-15,53.46385,견과류
견과류,2026-04-16,48.34337,견과류
견과류,2026-04-17,38.55421,견과류
견과류,2026-04-18,37.8012,견과류
견과류,2026-04-19,46.83734,견과류
