date,slot,source_type,source,rank,product_name,note,search_ratio,shopping_ratio
2026-04-21,pm,sns,instagram,,오이,오이샐러드 레시피 증가,96.91011,100.0
2026-04-21,pm,top20,naver_datalab,1.0,쌀20kg,,26.34313,93.91304
2026-04-21,pm,top20,naver_datalab,2.0,오메가3,,97.59009,90.72463
2026-04-21,pm,top20,naver_datalab,3.0,참외,,39.39862,84.44444
2026-04-21,pm,top20,naver_datalab,4.0,닭가슴살,,86.06013,79.22705
2026-04-21,pm,top20,naver_datalab,5.0,쌀10kg,,26.05571,74.7826
2026-04-21,pm,top20,naver_datalab,6.0,촉촉한황치즈칩,,76.4794,74.87126
2026-04-21,pm,top20,naver_datalab,7.0,창억떡,,67.83306,71.57569
2026-04-21,pm,top20,naver_datalab,8.0,두릅,,30.71874,70.64881
2026-04-21,pm,top20,naver_datalab,9.0,비타민c,,17.79917,66.42636
2026-04-21,pm,top20,naver_datalab,10.0,사과,,11.23952,62.51287
2026-04-21,pm,top20,naver_datalab,11.0,마늘쫑,,18.94806,88.70481
2026-04-21,pm,top20,naver_datalab,12.0,엄나무순,,78.33914,84.33734
2026-04-21,pm,top20,naver_datalab,13.0,레몬즙,,16.03617,79.66867
2026-04-21,pm,top20,naver_datalab,14.0,올리브오일,,35.33266,79.51807
2026-04-21,pm,top20,naver_datalab,15.0,알부민,,45.40401,79.21686
2026-04-21,pm,top20,naver_datalab,16.0,임박,,7.83853,75.10917
2026-04-21,pm,top20,naver_datalab,17.0,생수,,61.53485,74.2358
2026-04-21,pm,top20,naver_datalab,18.0,꽃게,,75.38136,72.63464
2026-04-21,pm,top20,naver_datalab,19.0,마그네슘,,92.34921,72.48908
2026-04-21,pm,top20,naver_datalab,20.0,구운계란,,63.38887,70.88791
