product_name,auction_date,variety_name,unit_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,raw_high_price,raw_low_price
가죽나물,2026-04-30,가죽나물(일반),kg,4472.9,8000.0,1500.0,499.2,42,40,2,11,13000.0,1300.0
가죽나물,2026-04-30,가죽나물,kg,4450.2,14500.0,1600.0,195.9,22,22,0,5,14500.0,1600.0
가죽나물,2026-04-30,가죽나물(표준),kg,6820.0,6820.0,6820.0,10.8,1,1,0,1,6820.0,6820.0
가죽나물,2026-04-30,가죽나무순,kg,15859.0,17500.0,12500.0,7.8,3,3,0,1,17500.0,12500.0
가죽나물,2026-04-30,가죽,kg,3500.0,3500.0,3500.0,2.1,1,1,0,1,3500.0,3500.0
감자,2026-04-30,감자,kg,66933.1,77000.0,18000.0,115260.0,178,173,5,3,78500.0,10000.0
감자,2026-04-30,햇감자,kg,66205.8,80000.0,28500.0,62223.0,74,72,2,1,81500.0,22000.0
감자,2026-04-30,감자(일반),kg,69578.0,78000.0,25000.0,14480.0,46,46,0,2,78000.0,25000.0
고구마,2026-04-30,고구마,kg,21480.7,32000.0,7500.0,48550.0,167,164,3,1,33000.0,7000.0
냉동블루베리,2026-04-30,블루베리,kg,39996.3,64000.0,17000.0,20496.4,1176,1119,57,26,96000.0,1500.0
냉동블루베리,2026-04-30,블루베리(국산),kg,32710.6,40000.0,22000.0,709.0,60,60,0,3,40000.0,22000.0
냉동블루베리,2026-04-30,블루베리(일반),kg,4272.1,17800.0,2700.0,651.1,75,45,30,2,35500.0,2700.0
냉동블루베리,2026-04-30,국산블루베리,kg,30169.4,39500.0,20000.0,438.0,35,34,1,1,40000.0,20000.0
냉동블루베리,2026-04-30,포도(블루베리),kg,33099.3,41000.0,24000.0,413.0,25,23,2,1,43000.0,20000.0
냉동블루베리,2026-04-30,블루베리,ton(M/T),30818.2,36000.0,23000.0,55.0,5,5,0,1,36000.0,23000.0
냉동블루베리,2026-04-30,블루베리(수입),kg,43680.0,43680.0,43680.0,15.0,1,1,0,1,43680.0,43680.0
당근,2026-04-30,당근,kg,25786.0,36000.0,5000.0,109385.0,92,92,0,9,36000.0,5000.0
당근,2026-04-30,당근(일반),kg,25480.3,33000.0,6000.0,72610.0,94,91,3,7,33000.0,1000.0
당근,2026-04-30,당근(당근),kg,25888.9,29000.0,23000.0,6840.0,11,9,2,1,30000.0,9500.0
당근,2026-04-30,흙당근,kg,30733.3,35200.0,26000.0,6000.0,6,6,0,1,35200.0,26000.0
당근,2026-04-30,당근(흙당근),kg,32181.7,35100.0,26000.0,5040.0,18,16,2,1,38800.0,23000.0
더덕,2026-04-30,더덕(일반),kg,35307.5,88000.0,8200.0,151.0,4,4,0,2,88000.0,8200.0
두릅,2026-04-30,두릅,kg,9850.8,40000.0,2500.0,2568.6,347,338,9,10,46000.0,1500.0
두릅,2026-04-30,두릅(일반),kg,9948.4,18000.0,2200.0,206.3,42,38,4,7,56000.0,2000.0
두릅,2026-04-30,참두릅(자연산),kg,6990.6,10000.0,4000.0,159.5,23,21,2,1,20000.0,3300.0
두릅,2026-04-30,두릅(표준),kg,10750.3,13600.0,6900.0,99.5,21,16,5,1,20000.0,500.0
두릅,2026-04-30,자연산(참두릅),kg,18272.7,32000.0,10000.0,44.0,11,11,0,1,32000.0,10000.0
두릅,2026-04-30,나무두릎,kg,2600.0,2600.0,2600.0,33.0,5,5,0,1,2600.0,2600.0
두릅,2026-04-30,참두릅,kg,10230.0,11500.0,8000.0,20.0,4,4,0,2,11500.0,8000.0
딸기,2026-04-30,골드베리,kg,21372.0,30000.0,7000.0,422.0,36,35,1,1,30000.0,3000.0
딸기,2026-04-30,금실(대야딸기),kg,7782.2,15600.0,2600.0,157.0,10,8,2,1,16300.0,1600.0
딸기,2026-04-30,딸기,kg,5337.7,8000.0,4500.0,77.0,4,4,0,1,8000.0,4500.0
딸기,2026-04-30,딸기(일반),kg,16526.7,17900.0,11220.0,6.0,3,3,0,1,17900.0,11220.0
마늘쫑,2026-04-30,마늘쫑,kg,5333.1,15500.0,900.0,72467.7,627,470,157,26,150020000.0,600.0
마늘쫑,2026-04-30,마늘쫑(국내),kg,16660.9,28000.0,15000.0,2350.0,10,8,2,2,28800.0,14000.0
마늘쫑,2026-04-30,마늘쫑(기타),kg,19666.7,28000.0,18000.0,240.0,7,7,0,2,28000.0,18000.0
마늘쫑,2026-04-30,마늘(마늘쫑),kg,800.0,800.0,800.0,100.0,1,1,0,1,800.0,800.0
망고,2026-04-30,망고(일반),kg,39550.9,126100.0,32000.0,3157.0,78,77,1,2,145500.0,32000.0
망고,2026-04-30,망고(수입),kg,38097.0,43000.0,30000.0,2316.0,43,43,0,6,43000.0,30000.0
망고,2026-04-30,망고(국산),kg,117433.9,165000.0,70000.0,567.0,42,41,1,1,170000.0,70000.0
