date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-26,pm,rising,naver_top200,21.0,21-50,꽃게,21~50_전량수집,수산물,,N,30.37227,89.59835
2026-04-26,pm,rising,naver_top200,22.0,21-50,오렌지,21~50_전량수집,농산물,,N,15.62064,89.39237
2026-04-26,pm,rising,naver_top200,23.0,21-50,유산균,건강식품,건강식품,,Y,35.9618,88.98043
2026-04-26,pm,rising,naver_top200,24.0,21-50,두릅,21~50_전량수집,농산물,,N,52.41926,87.74459
2026-04-26,pm,rising,naver_top200,25.0,21-50,카무트효소,건강식품,건강식품,,Y,43.41808,86.0968
2026-04-26,pm,rising,naver_top200,26.0,21-50,엄나무순,21~50_전량수집,농산물,,N,54.86603,100.0
2026-04-26,pm,rising,naver_top200,27.0,21-50,그릭요거트,유제품,가공식품,,N,31.60012,99.04076
2026-04-26,pm,rising,naver_top200,28.0,21-50,콘드로이친1200,건강식품,건강식품,,Y,29.70454,97.36211
2026-04-26,pm,rising,naver_top200,29.0,21-50,냉동블루베리,21~50_전량수집,nan,,NAN,12.90903,95.44364
2026-04-26,pm,rising,naver_top200,30.0,21-50,병아리콩,21~50_전량수집,농산물,,N,20.29016,93.76498
2026-04-26,pm,rising,naver_top200,31.0,21-50,계란,21~50_전량수집,nan,,NAN,49.89167,100.0
2026-04-26,pm,rising,naver_top200,32.0,21-50,루테인,건강식품,건강식품,,Y,20.76756,99.48586
2026-04-26,pm,rising,naver_top200,33.0,21-50,구운계란,21~50_전량수집,수산물,,N,31.75487,96.40102
2026-04-26,pm,rising,naver_top200,34.0,21-50,암꽃게,21~50_전량수집,nan,,NAN,23.64593,94.85861
2026-04-26,pm,rising,naver_top200,35.0,21-50,임박,브랜드상품,브랜드_완제품,,Y,3.37356,94.85861
2026-04-26,pm,rising,naver_top200,36.0,21-50,멸균우유,브랜드상품,브랜드_완제품,,Y,8.69763,100.0
2026-04-26,pm,rising,naver_top200,37.0,21-50,뉴케어구수한맛,브랜드상품,브랜드_완제품,,Y,18.59998,99.44751
2026-04-26,pm,rising,naver_top200,38.0,21-50,블루베리,21~50_전량수집,농산물,,N,28.06425,99.44751
2026-04-26,pm,rising,naver_top200,39.0,21-50,찹쌀누룽지과자,브랜드상품,브랜드_완제품,,Y,12.85023,99.44751
2026-04-26,pm,rising,naver_top200,40.0,21-50,버터떡,21~50_전량수집,nan,,NAN,53.73733,97.51381
2026-04-26,pm,rising,naver_top200,41.0,21-50,오이,21~50_전량수집,농산물,,N,17.85461,100.0
2026-04-26,pm,rising,naver_top200,42.0,21-50,수박,21~50_전량수집,농산물,,N,24.20344,99.71098
2026-04-26,pm,rising,naver_top200,43.0,21-50,두유,브랜드상품,브랜드_완제품,,Y,19.48312,98.84393
2026-04-26,pm,rising,naver_top200,44.0,21-50,맥심모카골드,브랜드상품,브랜드_완제품,,Y,18.63346,96.8208
2026-04-26,pm,rising,naver_top200,45.0,21-50,대마종자유,건강식품,건강식품,,Y,100.0,96.53179
2026-04-26,pm,rising,naver_top200,46.0,21-50,명이나물,21~50_전량수집,농산물,,N,25.56849,100.0
2026-04-26,pm,rising,naver_top200,47.0,21-50,당근,21~50_전량수집,nan,,NAN,57.83154,99.40119
2026-04-26,pm,rising,naver_top200,48.0,21-50,수향미10kg,21~50_전량수집,농산물,,N,9.55975,98.50299
2026-04-26,pm,rising,naver_top200,49.0,21-50,카라향,21~50_전량수집,농산물,,N,24.004,98.20359
