product_name,period,shopping_ratio,shopping_keywords
꽃게,2026-04-07,56.23306,꽃게
꽃게,2026-04-08,57.45257,꽃게
꽃게,2026-04-09,69.51219,꽃게
꽃게,2026-04-10,52.16802,꽃게
꽃게,2026-04-11,41.05691,꽃게
꽃게,2026-04-12,37.80487,꽃게
꽃게,2026-04-13,56.63956,꽃게
꽃게,2026-04-14,60.7046,꽃게
꽃게,2026-04-15,58.67208,꽃게
꽃게,2026-04-16,73.17073,꽃게
꽃게,2026-04-17,59.75609,꽃게
꽃게,2026-04-18,37.39837,꽃게
꽃게,2026-04-19,54.20054,꽃게
꽃게,2026-04-20,74.52574,꽃게
닭가슴살,2026-04-07,91.04908,닭가슴살
닭가슴살,2026-04-08,88.73917,닭가슴살
닭가슴살,2026-04-09,79.40327,닭가슴살
닭가슴살,2026-04-10,69.77863,닭가슴살
닭가슴살,2026-04-11,65.92877,닭가슴살
닭가슴살,2026-04-12,75.36092,닭가슴살
닭가슴살,2026-04-13,80.84696,닭가슴살
닭가슴살,2026-04-14,99.61501,닭가슴살
닭가슴살,2026-04-15,76.13089,닭가슴살
닭가슴살,2026-04-16,73.2435,닭가슴살
닭가슴살,2026-04-17,70.35611,닭가슴살
닭가슴살,2026-04-18,59.67276,닭가슴살
닭가슴살,2026-04-19,71.02983,닭가슴살
닭가슴살,2026-04-20,85.56304,닭가슴살
두릅,2026-04-07,78.53705,두릅
두릅,2026-04-08,73.72473,두릅
두릅,2026-04-09,73.82098,두릅
두릅,2026-04-10,67.56496,두릅
두릅,2026-04-11,69.77863,두릅
두릅,2026-04-12,85.46679,두릅
두릅,2026-04-13,76.32338,두릅
두릅,2026-04-14,93.45524,두릅
두릅,2026-04-15,87.58421,두릅
두릅,2026-04-16,77.47834,두릅
두릅,2026-04-17,69.68238,두릅
두릅,2026-04-18,70.83734,두릅
두릅,2026-04-19,70.06737,두릅
두릅,2026-04-20,74.39846,두릅
두유,2026-04-07,82.34375,두유
두유,2026-04-08,72.8125,두유
두유,2026-04-09,61.25,두유
두유,2026-04-10,55.78125,두유
두유,2026-04-11,46.71875,두유
두유,2026-04-12,56.875,두유
두유,2026-04-13,72.8125,두유
두유,2026-04-14,60.15625,두유
두유,2026-04-15,60,두유
두유,2026-04-16,54.21875,두유
두유,2026-04-17,50.625,두유
두유,2026-04-18,45.15625,두유
두유,2026-04-19,51.71875,두유
두유,2026-04-20,76.71875,두유
레몬즙,2026-04-07,91.40625,레몬즙
레몬즙,2026-04-08,73.28125,레몬즙
레몬즙,2026-04-09,84.53125,레몬즙
레몬즙,2026-04-10,65.78125,레몬즙
레몬즙,2026-04-11,60.9375,레몬즙
레몬즙,2026-04-12,70.15625,레몬즙
레몬즙,2026-04-13,79.53125,레몬즙
레몬즙,2026-04-14,87.65625,레몬즙
레몬즙,2026-04-15,82.1875,레몬즙
레몬즙,2026-04-16,71.5625,레몬즙
레몬즙,2026-04-17,63.75,레몬즙
레몬즙,2026-04-18,53.59375,레몬즙
레몬즙,2026-04-19,62.1875,레몬즙
레몬즙,2026-04-20,80.46875,레몬즙
마그네슘,2026-04-07,67.50788,마그네슘
마그네슘,2026-04-08,61.61934,마그네슘
마그네슘,2026-04-09,61.30389,마그네슘
마그네슘,2026-04-10,63.61724,마그네슘
마그네슘,2026-04-11,52.68138,마그네슘
마그네슘,2026-04-12,65.08937,마그네슘
마그네슘,2026-04-13,72.23974,마그네슘
마그네슘,2026-04-14,61.19873,마그네슘
마그네슘,2026-04-15,65.82544,마그네슘
마그네슘,2026-04-16,55.7308,마그네슘
마그네슘,2026-04-17,60.35751,마그네슘
마그네슘,2026-04-18,60.77812,마그네슘
마그네슘,2026-04-19,57.93901,마그네슘
마그네슘,2026-04-20,71.39852,마그네슘
비타민c,2026-04-07,47.21345,비타민c
비타민c,2026-04-08,37.22397,비타민c
비타민c,2026-04-09,42.16614,비타민c
비타민c,2026-04-10,40.58885,비타민c
비타민c,2026-04-11,41.74553,비타민c
비타민c,2026-04-12,46.16193,비타민c
비타민c,2026-04-13,42.06098,비타민c
비타민c,2026-04-14,45.74132,비타민c
비타민c,2026-04-15,47.1083,비타민c
비타민c,2026-04-16,58.56992,비타민c
비타민c,2026-04-17,51.52471,비타민c
비타민c,2026-04-18,53.41745,비타민c
비타민c,2026-04-19,65.93059,비타민c
비타민c,2026-04-20,70.13669,비타민c
사과,2026-04-07,92.68292,사과
사과,2026-04-08,90.5149,사과
사과,2026-04-09,80.7588,사과
사과,2026-04-10,71.81571,사과
사과,2026-04-11,53.52303,사과
사과,2026-04-12,75.74525,사과
사과,2026-04-13,79.81029,사과
사과,2026-04-14,85.50135,사과
사과,2026-04-15,88.21138,사과
사과,2026-04-16,100,사과
사과,2026-04-17,60.1626,사과
사과,2026-04-18,52.98102,사과
사과,2026-04-19,70.7317,사과
사과,2026-04-20,77.64227,사과
생수,2026-04-07,100,생수
생수,2026-04-08,78.59375,생수
생수,2026-04-09,64.53125,생수
생수,2026-04-10,67.34375,생수
생수,2026-04-11,54.0625,생수
생수,2026-04-12,66.875,생수
생수,2026-04-13,85.78125,생수
생수,2026-04-14,86.40625,생수
생수,2026-04-15,85.3125,생수
생수,2026-04-16,79.53125,생수
생수,2026-04-17,61.875,생수
생수,2026-04-18,46.25,생수
생수,2026-04-19,67.8125,생수
생수,2026-04-20,80,생수
쌀10kg,2026-04-07,71.22232,쌀10kg
쌀10kg,2026-04-08,78.4408,쌀10kg
쌀10kg,2026-04-09,77.1896,쌀10kg
쌀10kg,2026-04-10,64.00384,쌀10kg
쌀10kg,2026-04-11,59.38402,쌀10kg
쌀10kg,2026-04-12,74.20596,쌀10kg
쌀10kg,2026-04-13,80.84696,쌀10kg
쌀10kg,2026-04-14,75.84215,쌀10kg
쌀10kg,2026-04-15,62.84889,쌀10kg
쌀10kg,2026-04-16,70.93358,쌀10kg
쌀10kg,2026-04-17,52.64677,쌀10kg
쌀10kg,2026-04-18,58.80654,쌀10kg
쌀10kg,2026-04-19,68.91241,쌀10kg
쌀10kg,2026-04-20,82.48315,쌀10kg
쌀20kg,2026-04-07,100,쌀20kg
쌀20kg,2026-04-08,84.21559,쌀20kg
쌀20kg,2026-04-09,86.23676,쌀20kg
쌀20kg,2026-04-10,64.77382,쌀20kg
쌀20kg,2026-04-11,70.35611,쌀20kg
쌀20kg,2026-04-12,93.07025,쌀20kg
쌀20kg,2026-04-13,87.39172,쌀20kg
쌀20kg,2026-04-14,86.71799,쌀20kg
쌀20kg,2026-04-15,80.07699,쌀20kg
쌀20kg,2026-04-16,72.08854,쌀20kg
쌀20kg,2026-04-17,60.92396,쌀20kg
쌀20kg,2026-04-18,59.48026,쌀20kg
쌀20kg,2026-04-19,77.47834,쌀20kg
쌀20kg,2026-04-20,83.92685,쌀20kg
알부민,2026-04-07,58.67507,알부민
알부민,2026-04-08,68.87486,알부민
알부민,2026-04-09,50.36803,알부민
알부민,2026-04-10,52.15562,알부민
알부민,2026-04-11,46.68769,알부민
알부민,2026-04-12,57.41324,알부민
알부민,2026-04-13,62.46056,알부민
알부민,2026-04-14,62.46056,알부민
알부민,2026-04-15,66.98212,알부민
알부민,2026-04-16,67.50788,알부민
알부민,2026-04-17,57.7287,알부민
알부민,2026-04-18,51.1041,알부민
알부민,2026-04-19,58.14931,알부민
알부민,2026-04-20,69.82124,알부민
엄나무순,2026-04-07,49.72899,엄나무순
엄나무순,2026-04-08,45.25745,엄나무순
엄나무순,2026-04-09,62.33062,엄나무순
엄나무순,2026-04-10,50.6775,엄나무순
엄나무순,2026-04-11,53.79403,엄나무순
엄나무순,2026-04-12,73.17073,엄나무순
엄나무순,2026-04-13,70.8672,엄나무순
엄나무순,2026-04-14,61.11111,엄나무순
엄나무순,2026-04-15,73.57723,엄나무순
엄나무순,2026-04-16,66.39566,엄나무순
엄나무순,2026-04-17,67.07317,엄나무순
엄나무순,2026-04-18,72.08672,엄나무순
엄나무순,2026-04-19,65.17615,엄나무순
엄나무순,2026-04-20,77.64227,엄나무순
오메가3,2026-04-07,81.23195,오메가3
오메가3,2026-04-08,73.05101,오메가3
오메가3,2026-04-09,73.43599,오메가3
오메가3,2026-04-10,71.60731,오메가3
오메가3,2026-04-11,61.69393,오메가3
오메가3,2026-04-12,75.07218,오메가3
오메가3,2026-04-13,71.41482,오메가3
오메가3,2026-04-14,83.44562,오메가3
오메가3,2026-04-15,82.00192,오메가3
오메가3,2026-04-16,79.11453,오메가3
오메가3,2026-04-17,73.72473,오메가3
오메가3,2026-04-18,75.45717,오메가3
