date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-23,1,오메가3,pm,24.02883,79.03381
2026-04-23,2,촉촉한황치즈칩,pm,100.0,77.3913
2026-04-23,3,쌀20kg,pm,7.34834,77.00483
2026-04-23,4,닭가슴살,pm,20.36741,76.71497
2026-04-23,5,참외,pm,11.39886,74.00966
2026-04-23,6,쌀10kg,pm,8.19609,69.51596
2026-04-23,7,꽃게,pm,13.03312,66.83831
2026-04-23,8,사과,pm,11.24035,66.63233
2026-04-23,9,두릅,pm,23.78594,60.04119
2026-04-23,10,창억떡,pm,60.73937,59.73223
2026-04-23,11,비타민c,pm,87.13426,83.98835
2026-04-23,12,마그네슘,pm,69.79959,82.24163
2026-04-23,13,마늘쫑,pm,43.72745,78.45705
2026-04-23,14,콜라겐,pm,47.93587,74.67248
2026-04-23,15,생수,pm,49.97995,74.38136
2026-04-23,16,쭈꾸미,pm,57.5465,83.22368
2026-04-23,17,올리브오일,pm,47.49234,83.05921
2026-04-23,18,카무트효소,pm,43.21874,80.5921
2026-04-23,19,계란,pm,35.13068,75.65789
2026-04-23,20,망고,pm,30.51565,74.50657
