product_name,period,shopping_ratio,shopping_keywords
계란,2026-04-16,41.25964,계란
계란,2026-04-17,25.83547,계란
계란,2026-04-18,27.63496,계란
계란,2026-04-19,42.80205,계란
계란,2026-04-20,62.982,계란
계란,2026-04-21,43.95886,계란
계란,2026-04-22,51.28534,계란
계란,2026-04-23,59.12596,계란
계란,2026-04-24,34.8329,계란
계란,2026-04-25,33.93316,계란
계란,2026-04-26,100,계란
계란,2026-04-27,64.13881,계란
계란,2026-04-28,52.95629,계란
고구마,2026-04-15,56.84039,고구마
고구마,2026-04-16,52.44299,고구마
고구마,2026-04-17,60.42345,고구마
고구마,2026-04-18,35.83061,고구마
고구마,2026-04-19,36.64495,고구마
고구마,2026-04-20,62.54071,고구마
고구마,2026-04-21,55.21172,고구마
고구마,2026-04-22,53.09446,고구마
고구마,2026-04-23,66.77524,고구마
고구마,2026-04-24,51.62866,고구마
고구마,2026-04-25,37.45928,고구마
고구마,2026-04-26,96.74267,고구마
고구마,2026-04-27,63.84364,고구마
고구마,2026-04-28,53.25732,고구마
고등어,2026-04-15,34.87084,고등어
고등어,2026-04-16,40.7749,고등어
고등어,2026-04-17,24.72324,고등어
고등어,2026-04-18,26.56826,고등어
고등어,2026-04-19,39.66789,고등어
고등어,2026-04-20,40.5904,고등어
고등어,2026-04-21,55.53505,고등어
고등어,2026-04-22,43.72693,고등어
고등어,2026-04-23,36.34686,고등어
고등어,2026-04-24,35.23985,고등어
고등어,2026-04-25,22.69372,고등어
고등어,2026-04-26,94.46494,고등어
고등어,2026-04-27,44.64944,고등어
고등어,2026-04-28,47.97047,고등어
고려은단비타민c1000,2026-04-15,46.35627,고려은단비타민c1000
고려은단비타민c1000,2026-04-16,41.29554,고려은단비타민c1000
고려은단비타민c1000,2026-04-17,47.36842,고려은단비타민c1000
고려은단비타민c1000,2026-04-18,40.2834,고려은단비타민c1000
고려은단비타민c1000,2026-04-19,38.66396,고려은단비타민c1000
고려은단비타민c1000,2026-04-20,47.36842,고려은단비타민c1000
고려은단비타민c1000,2026-04-21,46.5587,고려은단비타민c1000
고려은단비타민c1000,2026-04-22,47.57085,고려은단비타민c1000
고려은단비타민c1000,2026-04-23,51.21457,고려은단비타민c1000
고려은단비타민c1000,2026-04-24,46.5587,고려은단비타민c1000
고려은단비타민c1000,2026-04-25,39.27125,고려은단비타민c1000
고려은단비타민c1000,2026-04-26,87.85425,고려은단비타민c1000
고려은단비타민c1000,2026-04-27,52.02429,고려은단비타민c1000
고려은단비타민c1000,2026-04-28,44.53441,고려은단비타민c1000
고추장,2026-04-15,46.78111,고추장
고추장,2026-04-16,45.92274,고추장
고추장,2026-04-17,34.33476,고추장
고추장,2026-04-18,40.34334,고추장
고추장,2026-04-19,50.42918,고추장
고추장,2026-04-20,51.28755,고추장
고추장,2026-04-21,47.42489,고추장
고추장,2026-04-22,41.4163,고추장
고추장,2026-04-23,32.83261,고추장
고추장,2026-04-24,23.60515,고추장
고추장,2026-04-25,33.47639,고추장
고추장,2026-04-26,87.98283,고추장
고추장,2026-04-27,40.34334,고추장
고추장,2026-04-28,52.5751,고추장
곱창김,2026-04-15,68.66359,곱창김
곱창김,2026-04-16,64.28571,곱창김
곱창김,2026-04-17,58.75576,곱창김
곱창김,2026-04-18,55.06912,곱창김
곱창김,2026-04-19,70.27649,곱창김
곱창김,2026-04-20,75.34562,곱창김
곱창김,2026-04-21,59.67741,곱창김
곱창김,2026-04-22,63.13364,곱창김
곱창김,2026-04-23,58.06451,곱창김
곱창김,2026-04-24,53.68663,곱창김
곱창김,2026-04-25,32.25806,곱창김
곱창김,2026-04-26,100,곱창김
곱창김,2026-04-27,50.69124,곱창김
곱창김,2026-04-28,47.23502,곱창김
과일,2026-04-15,32.35294,과일
과일,2026-04-16,21.49321,과일
과일,2026-04-17,11.31221,과일
과일,2026-04-18,11.31221,과일
과일,2026-04-19,15.8371,과일
과일,2026-04-20,21.71945,과일
과일,2026-04-21,11.7647,과일
과일,2026-04-22,24.66063,과일
과일,2026-04-23,19.45701,과일
과일,2026-04-24,16.28959,과일
과일,2026-04-25,11.7647,과일
과일,2026-04-26,23.9819,과일
과일,2026-04-27,21.71945,과일
과일,2026-04-28,49.32126,과일
관절보궁,2026-04-15,35.24229,관절보궁
관절보궁,2026-04-16,34.14096,관절보궁
관절보궁,2026-04-17,30.17621,관절보궁
관절보궁,2026-04-18,29.07488,관절보궁
관절보궁,2026-04-19,34.80176,관절보궁
관절보궁,2026-04-20,38.76651,관절보궁
관절보궁,2026-04-21,31.93832,관절보궁
관절보궁,2026-04-22,37.66519,관절보궁
관절보궁,2026-04-23,31.27753,관절보궁
관절보궁,2026-04-24,39.86784,관절보궁
관절보궁,2026-04-25,39.64757,관절보궁
관절보궁,2026-04-26,63.87665,관절보궁
관절보궁,2026-04-27,40.96916,관절보궁
관절보궁,2026-04-28,43.1718,관절보궁
광동경옥고,2026-04-15,18.88297,광동경옥고
광동경옥고,2026-04-16,14.09574,광동경옥고
광동경옥고,2026-04-17,10.63829,광동경옥고
광동경옥고,2026-04-18,20.47872,광동경옥고
광동경옥고,2026-04-19,15.69148,광동경옥고
광동경옥고,2026-04-20,31.64893,광동경옥고
광동경옥고,2026-04-21,23.93617,광동경옥고
광동경옥고,2026-04-22,28.7234,광동경옥고
광동경옥고,2026-04-23,36.70212,광동경옥고
광동경옥고,2026-04-24,31.11702,광동경옥고
광동경옥고,2026-04-25,44.14893,광동경옥고
광동경옥고,2026-04-26,100,광동경옥고
광동경옥고,2026-04-27,36.96808,광동경옥고
광동경옥고,2026-04-28,52.65957,광동경옥고
구강유산균,2026-04-15,50.60483,구강유산균
구강유산균,2026-04-16,40.92741,구강유산균
구강유산균,2026-04-17,42.54032,구강유산균
구강유산균,2026-04-18,45.3629,구강유산균
구강유산균,2026-04-19,39.31451,구강유산균
구강유산균,2026-04-20,59.07258,구강유산균
구강유산균,2026-04-21,49.79838,구강유산균
구강유산균,2026-04-22,53.62903,구강유산균
구강유산균,2026-04-23,50.20161,구강유산균
구강유산균,2026-04-24,46.77419,구강유산균
구강유산균,2026-04-25,43.14516,구강유산균
구강유산균,2026-04-26,79.8387,구강유산균
구강유산균,2026-04-27,50.80645,구강유산균
구강유산균,2026-04-28,47.98387,구강유산균
구운계란,2026-04-15,46.40102,구운계란
구운계란,2026-04-16,50.25706,구운계란
구운계란,2026-04-17,42.15938,구운계란
구운계란,2026-04-18,27.24935,구운계란
구운계란,2026-04-19,41.38817,구운계란
구운계란,2026-04-20,47.0437,구운계란
구운계란,2026-04-21,62.5964,구운계란
구운계란,2026-04-22,52.18508,구운계란
구운계란,2026-04-23,52.69922,구운계란
구운계란,2026-04-24,52.31362,구운계란
구운계란,2026-04-25,39.46015,구운계란
구운계란,2026-04-26,96.40102,구운계란
구운계란,2026-04-27,54.62724,구운계란
구운계란,2026-04-28,52.44215,구운계란
그릭요거트,2026-04-15,39.22518,그릭요거트
그릭요거트,2026-04-16,47.09443,그릭요거트
그릭요거트,2026-04-17,40.31476,그릭요거트
