product_name,price_type,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
사과,retail,사과,후지(10개),제주,E-유통,2026,04/23,"23,900",2026-04-23,2026-04-23,23900.0
사과,wholesale,사과,후지(10kg),대전,오정도매,2026,04/23,"73,300",2026-04-23,2026-04-23,73300.0
오이,retail,오이,다다기계통(10개),제주,E-유통,2026,04/23,"7,980",2026-04-23,2026-04-23,7980.0
오이,wholesale,오이,다다기계통(100개),대전,오정도매,2026,04/23,"38,000",2026-04-23,2026-04-23,38000.0
