date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-05-10,pm,rising,naver_top200,21,21-50,뉴케어,브랜드상품,brand,브랜드/완제품,Y,75.0,72.06132
2026-05-10,pm,rising,naver_top200,22,21-50,두유,브랜드상품,processed,음료/차류,Y,39.54918,70.35775
2026-05-10,pm,rising,naver_top200,23,21-50,감자,21~50_전량수집,agri,뿌리채소,N,35.22313,70.18739
2026-05-10,pm,rising,naver_top200,24,21-50,참외10kg,21~50_전량수집,agri,과일,N,10.49635,68.31345
2026-05-10,pm,rising,naver_top200,25,21-50,구운계란,축산_가공식품,processed,축산가공,N,42.60018,67.80238
2026-05-10,pm,rising,naver_top200,26,21-50,수박,21~50_전량수집,agri,과일,N,48.14382,70.46263
2026-05-10,pm,rising,naver_top200,27,21-50,망고,21~50_전량수집,agri,농산물 원물,N,52.0663,68.3274
2026-05-10,pm,rising,naver_top200,28,21-50,그릭요거트,유제품_고단백_간식,dessert,간식/디저트,N,74.76068,67.97153
2026-05-10,pm,rising,naver_top200,29,21-50,계란,축산_가공식품,meat,계란,N,63.76371,67.79359
2026-05-10,pm,rising,naver_top200,30,21-50,멸균우유,브랜드상품,processed,음료/차류,Y,24.72565,67.61565
2026-05-10,pm,rising,naver_top200,31,21-50,꽃게,21~50_전량수집,seafood,갑각류,N,51.88444,55.4559
2026-05-10,pm,rising,naver_top200,32,21-50,비타민c,건강식품,health,영양제,Y,64.30074,55.00747
2026-05-10,pm,rising,naver_top200,33,21-50,매실,21~50_전량수집,agri,농산물 원물,N,26.93705,54.40956
2026-05-10,pm,rising,naver_top200,34,21-50,샤오커오라사탕,브랜드상품,brand,브랜드/완제품,Y,52.19054,54.26008
2026-05-10,pm,rising,naver_top200,35,21-50,카무트효소,건강식품,health,건강식품,Y,56.74383,54.11061
2026-05-10,pm,rising,naver_top200,36,21-50,bnr17유산균,브랜드상품,health,유산균,Y,35.59879,68.31119
2026-05-10,pm,rising,naver_top200,37,21-50,맥심모카골드,브랜드상품,processed,가공식품,Y,27.17126,67.74193
2026-05-10,pm,rising,naver_top200,38,21-50,포켓몬빵,브랜드상품,dessert,베이커리/디저트,Y,32.30791,67.17267
2026-05-10,pm,rising,naver_top200,39,21-50,냉동블루베리,블루베리_냉동과일,processed,가공식품,N,15.81055,66.2239
2026-05-10,pm,rising,naver_top200,40,21-50,스타벅스미니컵,브랜드상품,brand,브랜드/완제품,Y,31.37787,66.2239
2026-05-10,pm,rising,naver_top200,41,21-50,뉴케어구수한맛,브랜드상품,brand,브랜드/완제품,Y,36.65035,72.29166
2026-05-10,pm,rising,naver_top200,42,21-50,오이,21~50_전량수집,agri,과채류,N,29.20065,71.45833
2026-05-10,pm,rising,naver_top200,43,21-50,오렌지,21~50_전량수집,agri,과일,N,19.81149,70.0
2026-05-10,pm,rising,naver_top200,44,21-50,인삼다당체,건강식품,health,건강식품,Y,100.0,69.79166
2026-05-10,pm,rising,naver_top200,45,21-50,암꽃게,21~50_전량수집,seafood,갑각류,N,22.72974,69.375
2026-05-10,pm,rising,naver_top200,46,21-50,밀크씨슬,건강식품,health,영양제,Y,28.08665,70.93275
2026-05-10,pm,rising,naver_top200,47,21-50,코엔자임q10,건강식품,health,건강식품,Y,62.67254,70.28199
2026-05-10,pm,rising,naver_top200,48,21-50,콘드로이친1200,건강식품,health,건강식품,Y,53.31671,70.06507
2026-05-10,pm,rising,naver_top200,49,21-50,알부민,건강식품,health,단백질/근육,Y,45.66717,67.46203
2026-05-10,pm,rising,naver_top200,50,21-50,구기자,21~50_전량수집,agri,농산물 원물,N,32.43865,67.24511
2026-05-10,pm,rising,naver_top200,51,51-100,토마토,Top200_확장후보,agri,과채류,N,30.58517,59.1603
2026-05-10,pm,rising,naver_top200,52,51-100,땅콩버터,유제품,processed,스프레드/소스,N,21.8485,58.77862
2026-05-10,pm,rising,naver_top200,53,51-100,알파cd,건강식품,health,건강식품,Y,43.99781,58.01526
2026-05-10,pm,rising,naver_top200,54,51-100,명이나물,Top200_확장후보,agri,엽채/나물,N,21.28794,57.82442
2026-05-10,pm,rising,naver_top200,55,51-100,아몬드,Top200_확장후보,agri,견과류,N,17.22723,57.82442
2026-05-10,pm,rising,naver_top200,56,51-100,수향미10kg,Top200_확장후보,grain,쌀,N,7.07427,52.7972
2026-05-10,pm,rising,naver_top200,57,51-100,파라다이스그레인,건강식품,health,건강식품,Y,29.10997,52.44755
2026-05-10,pm,rising,naver_top200,58,51-100,누룽지,농산_가공식품,processed,가공식품,N,6.22607,52.0979
2026-05-10,pm,rising,naver_top200,59,51-100,촉촉한황치즈칩,브랜드상품,brand,브랜드/완제품,Y,28.30299,52.0979
2026-05-10,pm,rising,naver_top200,60,51-100,하루견과,브랜드상품,brand,브랜드/완제품,Y,7.01537,51.74825
