date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-05-11,pm,rising,naver_top200,21,21-50,포켓몬빵,브랜드상품,dessert,베이커리/디저트,Y,37.11546,81.81818
2026-05-11,pm,rising,naver_top200,22,21-50,두유,브랜드상품,processed,음료/차류,Y,29.66089,81.48148
2026-05-11,pm,rising,naver_top200,23,21-50,마그네슘,건강식품,health,영양제,Y,52.43954,81.31313
2026-05-11,pm,rising,naver_top200,24,21-50,비타민c,건강식품,health,영양제,Y,54.17083,81.31313
2026-05-11,pm,rising,naver_top200,25,21-50,탄산수,브랜드상품,processed,음료/차류,Y,28.57347,81.31313
2026-05-11,pm,rising,naver_top200,26,21-50,맥심모카골드,브랜드상품,processed,가공식품,Y,84.64803,85.76512
2026-05-11,pm,rising,naver_top200,27,21-50,수박,21~50_전량수집,agri,과일,N,87.76087,83.09608
2026-05-11,pm,rising,naver_top200,28,21-50,망고,21~50_전량수집,agri,과일,N,85.67385,80.24911
2026-05-11,pm,rising,naver_top200,29,21-50,레몬즙,레몬_가공식품,processed,가공식품,N,62.15068,80.07117
2026-05-11,pm,rising,naver_top200,30,21-50,찹쌀누룽지과자,브랜드상품,dessert,과자/간식,Y,57.16307,79.00355
2026-05-11,pm,rising,naver_top200,31,21-50,그릭요거트,유제품_고단백_간식,dessert,간식/디저트,N,94.65085,65.91928
2026-05-11,pm,rising,naver_top200,32,21-50,오이,21~50_전량수집,agri,과채류,N,46.53491,63.8266
2026-05-11,pm,rising,naver_top200,33,21-50,꽃게,21~50_전량수집,seafood,갑각류,N,71.8577,61.13602
2026-05-11,pm,rising,naver_top200,34,21-50,구운계란,축산_가공식품,processed,축산가공,N,80.4216,60.53811
2026-05-11,pm,rising,naver_top200,35,21-50,참외10kg,21~50_전량수집,agri,과일,N,14.7826,58.74439
2026-05-11,pm,rising,naver_top200,36,21-50,고구마,21~50_전량수집,agri,뿌리채소,N,47.24292,75.4491
2026-05-11,pm,rising,naver_top200,37,21-50,블루베리,21~50_전량수집,agri,과일,N,98.21162,75.0499
2026-05-11,pm,rising,naver_top200,38,21-50,임박,유통기한_임박_할인상품,unknown,임박상품,Y,8.19672,74.85029
2026-05-11,pm,rising,naver_top200,39,21-50,참기름,참깨_원재료_가공식품,ingredient,오일/유지,N,29.11077,73.65269
2026-05-11,pm,rising,naver_top200,40,21-50,매실,21~50_전량수집,agri,농산물 원물,N,34.57526,73.05389
2026-05-11,pm,rising,naver_top200,41,21-50,뉴케어구수한맛,브랜드상품,brand,브랜드/완제품,Y,34.10185,75.625
