date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-12,1,스승의날선물,pm,99.08216,97.87985
2026-05-12,2,창억떡,pm,69.1863,80.83038
2026-05-12,3,닭가슴살,pm,34.11437,78.09187
2026-05-12,4,오메가3,pm,33.30685,75.26501
2026-05-12,5,쌀20kg,pm,8.97096,75.17667
2026-05-12,6,쌀10kg,pm,56.58458,81.76914
2026-05-12,7,참외,pm,93.65631,81.44552
2026-05-12,8,마늘쫑,pm,80.83511,79.18015
2026-05-12,9,수박,pm,70.02141,71.30528
2026-05-12,10,밀키트,pm,29.55032,64.40129
2026-05-12,11,생수,pm,63.94241,90.60092
2026-05-12,12,올리브오일,pm,95.91362,87.67334
2026-05-12,13,계란,pm,83.23659,85.82434
2026-05-12,14,사과,pm,74.64592,85.67026
2026-05-12,15,콜라겐,pm,45.32156,85.51617
2026-05-12,16,감자,pm,43.80664,79.7856
2026-05-12,17,콘드로이친,pm,57.65061,78.40735
2026-05-12,18,레몬즙,pm,35.68508,74.88514
2026-05-12,19,마그네슘,pm,62.4489,74.732
2026-05-12,20,두유,pm,32.80611,74.27258
