product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
감자,2026-05-09,42582.5,48499.3,66500.0,10000.0,131560.0,183,177,6,6,7,3,68000.0,2500.0
고구마,2026-05-09,25887.1,26565.5,36000.0,15000.0,14350.0,31,31,0,1,1,1,36000.0,15000.0
냉동블루베리,2026-05-09,32060.0,32801.4,57000.0,16000.0,20159.5,1566,1449,117,28,63,5,72000.0,1800.0
당근,2026-05-09,21075.2,21402.8,34000.0,6000.0,102950.0,134,133,1,9,16,3,50000.0,6000.0
마늘쫑,2026-05-09,10773.4,12882.4,38000.0,1810.0,81856.6,726,529,197,28,55,4,185000.0,500.0
망고,2026-05-09,52632.5,39698.1,170000.0,25000.0,5757.0,162,160,2,12,13,5,180000.0,11000.0
복숭아,2026-05-09,5900.0,6055.6,7300.0,4500.0,13.5,2,2,0,1,1,1,7300.0,4500.0
블루베리,2026-05-09,32060.0,32801.4,57000.0,16000.0,20159.5,1566,1449,117,28,63,5,72000.0,1800.0
사과,2026-05-09,44634.6,48386.3,71830.0,15000.0,1730.0,25,24,1,2,2,1,102060.0,15000.0
산딸기,2026-05-09,29560.0,30926.9,58600.0,7600.0,3151.5,232,225,7,11,23,4,72000.0,6000.0
수박,2026-05-09,22718.2,23299.7,52000.0,5500.0,277052.5,855,828,27,15,21,16,57000.0,2000.0
아보카도,2026-05-09,22426.7,21562.3,28800.0,17000.0,530.0,15,15,0,4,6,3,28800.0,17000.0
오이,2026-05-09,20500.0,20500.0,20500.0,20500.0,165.0,1,1,0,1,1,1,20500.0,20500.0
참외,2026-05-09,25568.8,27813.0,45000.0,10000.0,215216.0,3531,3482,49,9,15,5,55500.0,3000.0
참외10kg,2026-05-09,25568.8,27813.0,45000.0,10000.0,215216.0,3531,3482,49,9,15,5,55500.0,3000.0
체리,2026-05-09,93194.4,101627.7,125000.0,30000.0,685.0,36,36,0,9,9,3,125000.0,30000.0
카라향,2026-05-09,15685.0,17719.6,49000.0,3200.0,35464.8,322,313,9,17,26,5,90008.0,3000.0
키위,2026-05-09,38632.9,39919.1,52000.0,13000.0,11011.8,81,79,2,12,15,7,62000.0,10000.0
토마토,2026-05-09,10437.3,11074.7,28500.0,2900.0,269960.5,3576,3493,83,28,48,10,43000.0,1000.0
햇감자,2026-05-09,42582.5,48499.3,66500.0,10000.0,131560.0,183,177,6,6,7,3,68000.0,2500.0
