product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
가죽나물,2026-05-02,4637.0,4359.6,9800.0,1200.0,610.9,62,61,1,12,24,4,12000.0,1200.0
감자,2026-05-02,53566.9,60916.8,75000.0,16000.0,194910.0,260,257,3,6,8,3,75000.0,12000.0
고구마,2026-05-02,25211.3,26586.7,43000.0,11000.0,22570.0,54,53,1,1,1,1,43000.0,9500.0
냉동블루베리,2026-05-02,33484.5,34235.2,55000.0,18200.0,19561.0,1495,1376,119,25,61,5,67000.0,2500.0
단호박,2026-05-02,13377.4,13371.5,16000.0,10000.0,6100.0,55,53,2,9,11,2,22649.0,9500.0
당근,2026-05-02,24868.1,26786.4,36000.0,5000.0,62313.0,101,91,10,10,10,2,36600.0,2000.0
두릅,2026-05-02,12539.5,12720.4,35000.0,3000.0,2469.3,311,294,17,16,28,7,86000.0,300.0
마늘쫑,2026-05-02,3511.1,2174.3,14300.0,800.0,67379.0,593,384,209,23,46,2,175600.0,300.0
망고,2026-05-02,73865.9,47631.0,160000.0,18000.0,882.0,44,41,3,7,7,2,170000.0,5600.0
매실,2026-05-02,2500300.0,2500300.0,2500300.0,2500300.0,22.0,1,1,0,1,1,1,2500300.0,2500300.0
방울토마토,2026-05-02,13670.0,13476.3,32000.0,5000.0,31100.0,347,340,7,12,17,5,35000.0,2000.0
블루베리,2026-05-02,33484.5,34235.2,55000.0,18200.0,19561.0,1495,1376,119,25,61,5,67000.0,2500.0
사과,2026-05-02,33325.8,48830.4,105000.0,8500.0,1380.0,32,31,1,1,1,1,106000.0,8500.0
산딸기,2026-05-02,30274.7,31155.1,48500.0,8000.0,3100.4,228,221,7,11,21,3,53000.0,4500.0
수박,2026-05-02,25276.7,25987.5,53000.0,5000.0,257172.5,889,864,25,19,27,16,84000.0,1000.0
양파,2026-05-02,8115.5,8392.0,15000.0,2000.0,963945.5,692,679,13,23,34,8,17000.0,300.0
오이,2026-05-02,21500.0,21661.0,22000.0,21000.0,295.0,2,2,0,1,1,1,22000.0,21000.0
죽순,2026-05-02,13666.7,13482.1,22000.0,4200.0,224.0,6,6,0,2,3,3,22000.0,4200.0
참외,2026-05-02,45030.4,48238.2,67000.0,23000.0,138750.0,2696,2640,56,8,13,4,226500.0,7000.0
참외10kg,2026-05-02,45030.4,48238.2,67000.0,23000.0,138750.0,2696,2640,56,8,13,4,226500.0,7000.0
천혜향,2026-05-02,32717.1,39592.5,71000.0,9000.0,9288.0,77,76,1,5,8,4,73000.0,9000.0
청국장,2026-05-02,23823.8,38703.9,43000.0,7050.0,188.5,8,8,0,3,4,2,43000.0,7050.0
체리,2026-05-02,106578.9,104558.8,130000.0,85000.0,340.0,20,19,1,1,1,1,138000.0,85000.0
취나물,2026-05-02,17338.6,16688.0,33000.0,5000.0,14357.0,275,268,7,20,41,4,68500.0,3000.0
카라향,2026-05-02,20704.3,24238.1,53000.0,4500.0,29101.0,215,209,6,14,22,5,58000.0,2000.0
토마토,2026-05-02,10675.0,10832.0,30000.0,3000.0,305095.6,3799,3732,67,25,45,10,88000.0,1000.0
햇감자,2026-05-02,53566.9,60916.8,75000.0,16000.0,194910.0,260,257,3,6,8,3,75000.0,12000.0
