date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-05-24,pm,rising,naver_top200,복분자,복분자,42,21-50,179.0,137.0,up,▲ 137단계,N,N,2026-05-23,pm,179.0,1.0,3,3,3,42,179,92.0,NAVER_RISING_FAST,94.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 3일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"복분자은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 42위이며, 최근 7일 중 3일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,산딸기,산딸기,35,21-50,67.0,32.0,up,▲ 32단계,N,N,2026-05-23,pm,67.0,1.0,7,14,22,35,163,21.0,NAVER_RISING_FAST,92.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 흐름 · 최근 7일 중 7일 등장 · 22일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"산딸기은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 35위이며, 최근 7일 중 7일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,김치,김치,36,21-50,75.0,39.0,up,▲ 39단계,N,N,2026-05-23,pm,75.0,1.0,7,14,32,32,120,11.0,NAVER_RISING_FAST,88.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 흐름 · 최근 7일 중 7일 등장 · 32일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"김치은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 36위이며, 최근 7일 중 7일 등장했습니다.",processed,김치/절임,가공식품,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,궁채,궁채,74,51-100,138.0,64.0,up,▲ 64단계,N,N,2026-05-23,pm,138.0,1.0,7,13,12,74,177,46.0,NAVER_WARMING_FAST,88.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 12일 연속 등장,WARMING,high,관찰 강화,"궁채은 관심 형성 구간에 있는 후보입니다. 현재 74위이며, 순위 변화는 ▲ 64단계입니다.",agri,농산물 원물,농산물,N,,Top200_확장후보
2026-05-24,pm,rising,naver_top200,수향미10kg,수향미10kg,39,21-50,65.0,26.0,up,▲ 26단계,N,N,2026-05-23,pm,65.0,1.0,7,14,32,39,110,20.0,NAVER_RISING_FAST,87.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름 · 최근 7일 중 7일 등장 · 32일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"수향미10kg은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 39위이며, 최근 7일 중 7일 등장했습니다.",grain,쌀,농산물,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,오디,오디,61,51-100,125.0,64.0,up,▲ 64단계,N,N,2026-05-23,pm,125.0,1.0,4,4,3,61,185,103.0,NAVER_WARMING_FAST,85.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 3일 연속 등장,WARMING,high,관찰 강화,"오디은 관심 형성 구간에 있는 후보입니다. 현재 61위이며, 순위 변화는 ▲ 64단계입니다.",agri,과일,농산물,N,,Top200_확장후보
2026-05-24,pm,rising,naver_top200,오렌지,오렌지,50,21-50,70.0,20.0,up,▲ 20단계,N,N,2026-05-23,pm,70.0,1.0,7,14,32,29,78,13.0,NAVER_RISING_FAST,83.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름 · 최근 7일 중 7일 등장 · 32일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"오렌지은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 50위이며, 최근 7일 중 7일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,냉동블루베리,냉동블루베리,32,21-50,64.0,32.0,up,▲ 32단계,N,N,2026-05-23,pm,64.0,1.0,7,14,32,32,68,3.0,NAVER_RISING_FAST,82.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 7일 등장 · 32일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"냉동블루베리은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 32위이며, 최근 7일 중 7일 등장했습니다.",processed,가공식품,가공식품,N,,21~50_전량수집
2026-05-24,pm,rising,naver_top200,쌀,쌀,73,51-100,93.0,20.0,up,▲ 20단계,N,N,2026-05-23,pm,93.0,1.0,7,14,32,65,167,70.0,NAVER_WARMING_FAST,82.0,중위권 관심 형성 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 32일 연속 등장,WARMING,high,관찰 강화,"쌀은 관심 형성 구간에 있는 후보입니다. 현재 73위이며, 순위 변화는 ▲ 20단계입니다.",grain,쌀,농산물,N,,Top200_확장후보
2026-05-24,pm,rising,naver_top200,복숭아,복숭아,48,21-50,55.0,7.0,up,▲ 7단계,N,N,2026-05-23,pm,55.0,1.0,7,14,22,41,137,39.0,NAVER_RISING_FAST,81.0,Top20 진입 직전 구간 · 최근 3일 상승 속도 빠름 · 최근 7일 중 7일 등장 · 22일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"복숭아은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 48위이며, 최근 7일 중 7일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
