date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-09,1,쌀20kg,pm,9.61338,46.68218
2026-05-09,2,닭가슴살,pm,21.84261,39.34807
2026-05-09,3,참외,pm,16.32574,38.18393
2026-05-09,4,창억떡,pm,59.70935,37.31082
2026-05-09,5,오메가3,pm,31.0063,36.61233
2026-05-09,6,쌀10kg,pm,13.99233,41.94214
2026-05-09,7,스승의날선물,pm,63.0498,41.39118
2026-05-09,8,마늘쫑,pm,20.69731,40.56473
2026-05-09,9,콘드로이친,pm,35.30268,40.08264
2026-05-09,10,콜라겐,pm,19.34099,38.70523
2026-05-09,11,알파cd,pm,100.0,48.16176
2026-05-09,12,마그네슘,pm,36.87448,44.02573
2026-05-09,13,올리브오일,pm,43.27317,43.65808
2026-05-09,14,수박,pm,29.02652,41.81985
2026-05-09,15,스타벅스미니컵,pm,35.98578,40.625
2026-05-09,16,사과,pm,50.72859,40.07421
2026-05-09,17,감자,pm,32.12659,39.0538
2026-05-09,18,뉴케어,pm,77.25409,38.96103
2026-05-09,19,생수,pm,43.44262,38.03339
2026-05-09,20,찹쌀누룽지과자,pm,33.12841,37.10575
