product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
감자,2026-05-12,35813.4,41045.2,60000.0,9000.0,350798.0,467,449,18,10,12,3,66000.0,5000.0
고구마,2026-05-12,21254.5,23781.3,36000.0,10000.0,26840.0,125,121,4,3,4,2,40000.0,8000.0
냉동블루베리,2026-05-12,32872.0,33319.4,60000.0,16800.0,23821.3,1767,1574,193,27,63,6,395500.0,2200.0
단호박,2026-05-12,15413.8,14640.5,23000.0,9500.0,8929.0,85,83,2,13,17,6,24000.0,4110.0
당근,2026-05-12,22017.1,22996.7,34600.0,6000.0,271790.0,313,298,15,15,26,5,37000.0,1190.0
마늘쫑,2026-05-12,11425.7,14234.6,36000.0,2200.0,63774.1,684,545,139,31,58,4,66006100.0,131.0
망고,2026-05-12,54618.6,41817.6,170000.0,27000.0,9075.0,284,284,0,13,17,5,170000.0,27000.0
방울토마토,2026-05-12,12259.1,12290.6,32000.0,3200.0,34673.0,378,369,9,12,19,3,38000.0,2000.0
복숭아,2026-05-12,48000.0,48000.0,48000.0,48000.0,2.5,1,1,0,1,1,1,48000.0,48000.0
블루베리,2026-05-12,32872.0,33319.4,60000.0,16800.0,23821.3,1767,1574,193,27,63,6,395500.0,2200.0
사과,2026-05-12,19595.0,19561.8,32500.0,12000.0,1520.0,21,20,1,1,1,1,32600.0,12000.0
산딸기,2026-05-12,29400.3,32045.4,62000.0,7000.0,2137.3,161,155,6,11,22,3,77000.0,5000.0
수박,2026-05-12,20271.5,21411.8,46000.0,5200.0,311379.5,909,887,22,14,20,16,50000.0,3000.0
아보카도,2026-05-12,21819.5,21071.8,36000.0,19000.0,1217.0,31,26,5,7,8,3,37800.0,1000.0
아스파라거스,2026-05-12,8500.0,8500.0,8500.0,8500.0,15.0,1,1,0,1,1,1,8500.0,8500.0
양파,2026-05-12,7138.6,7543.3,12200.0,1800.0,1157371.5,897,870,27,25,39,9,16000.0,122.0
오렌지,2026-05-12,65000.0,65000.0,65000.0,65000.0,30.0,1,1,0,1,1,1,65000.0,65000.0
오이,2026-05-12,20000.0,20000.0,20000.0,20000.0,280.0,1,1,0,1,1,1,20000.0,20000.0
죽순,2026-05-12,1091.7,880.7,3000.0,710.0,161.0,15,6,9,2,2,2,21100.0,71.0
참외,2026-05-12,21120.7,23165.4,40300.0,7000.0,224252.0,3480,3427,53,9,15,6,5888800.0,5000.0
참외10kg,2026-05-12,21120.7,23165.4,40300.0,7000.0,224252.0,3480,3427,53,9,15,6,5888800.0,5000.0
체리,2026-05-12,109397.6,111515.8,125000.0,70000.0,1675.0,84,84,0,10,11,3,125000.0,70000.0
카라향,2026-05-12,17736.6,20109.8,53800.0,4000.0,39238.0,272,268,4,14,23,5,55800.0,3000.0
키위,2026-05-12,41832.6,42327.3,50000.0,30000.0,7963.5,146,141,5,11,15,6,51000.0,0.0
토마토,2026-05-12,10041.6,10899.2,28000.0,2000.0,279952.5,3008,2961,47,25,42,11,279000.0,1000.0
햇감자,2026-05-12,35813.4,41045.2,60000.0,9000.0,350798.0,467,449,18,10,12,3,66000.0,5000.0
