product_name,period,search_ratio,search_keywords,shopping_ratio,shopping_keywords
bnr17유산균,2026-04-18,34.05698,bnr17유산균,30.0813,bnr17유산균
bnr17유산균,2026-04-19,46.67571,bnr17유산균,36.44986,bnr17유산균
bnr17유산균,2026-04-20,45.64838,bnr17유산균,28.18428,bnr17유산균
bnr17유산균,2026-04-21,35.1037,bnr17유산균,33.87533,bnr17유산균
bnr17유산균,2026-04-22,18.27873,bnr17유산균,20.4607,bnr17유산균
bnr17유산균,2026-04-23,32.11862,bnr17유산균,18.15718,bnr17유산균
bnr17유산균,2026-04-24,50.04845,bnr17유산균,36.85636,bnr17유산균
bnr17유산균,2026-04-25,28.86218,bnr17유산균,21.81571,bnr17유산균
bnr17유산균,2026-04-26,37.77863,bnr17유산균,66.39566,bnr17유산균
bnr17유산균,2026-04-27,34.83233,bnr17유산균,24.93224,bnr17유산균
bnr17유산균,2026-04-28,37.13898,bnr17유산균,29.26829,bnr17유산균
bnr17유산균,2026-04-29,26.96258,bnr17유산균,27.91327,bnr17유산균
bnr17유산균,2026-04-30,24.96607,bnr17유산균,26.42276,bnr17유산균
bnr17유산균,2026-05-01,50.00969,bnr17유산균,30.4878,bnr17유산균
cca주스,2026-04-18,10.23414,cca주스,45.64315,cca주스
cca주스,2026-04-19,11.6022,cca주스,48.13278,cca주스
cca주스,2026-04-20,13.62799,cca주스,51.24481,cca주스
cca주스,2026-04-21,11.5759,cca주스,48.54771,cca주스
cca주스,2026-04-22,10.28676,cca주스,42.11618,cca주스
cca주스,2026-04-23,12.89134,cca주스,38.58921,cca주스
cca주스,2026-04-24,9.57642,cca주스,43.36099,cca주스
cca주스,2026-04-25,9.91844,cca주스,29.87551,cca주스
cca주스,2026-04-26,11.33912,cca주스,98.75518,cca주스
cca주스,2026-04-27,12.23362,cca주스,48.13278,cca주스
cca주스,2026-04-28,11.73375,cca주스,43.9834,cca주스
cca주스,2026-04-29,11.91791,cca주스,51.45228,cca주스
cca주스,2026-04-30,9.83951,cca주스,40.6639,cca주스
cca주스,2026-05-01,10.31307,cca주스,43.36099,cca주스
mbp,2026-04-18,7.23981,mbp,21.77121,mbp
mbp,2026-04-19,13.33333,mbp,31.54981,mbp
