date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-25,1,쌀20kg,pm,26.39782,100.0
2026-05-25,2,매실,pm,46.49925,82.66009
2026-05-25,3,쌀10kg,pm,27.78327,75.07389
2026-05-25,4,닭가슴살,pm,74.67837,74.58128
2026-05-25,5,탄산수,pm,27.5235,66.10837
2026-05-25,6,수박,pm,22.33653,72.02185
2026-05-25,7,오메가3,pm,38.94218,70.81967
2026-05-25,8,참외,pm,19.27543,69.50819
2026-05-25,9,창억떡,pm,52.05124,61.63934
2026-05-25,10,블루베리,pm,28.80585,60.43715
2026-05-25,11,마늘쫑,pm,50.54466,72.39101
2026-05-25,12,마그네슘,pm,66.66666,70.27741
2026-05-25,13,참외10kg,pm,18.34906,69.8811
2026-05-25,14,생수,pm,63.90704,67.107
2026-05-25,15,올리브오일,pm,82.9097,67.107
2026-05-25,16,계란,pm,65.31654,84.44816
2026-05-25,17,콜라겐,pm,27.02518,82.44147
2026-05-25,18,카무트효소,pm,100.0,81.43812
2026-05-25,19,루테인,pm,18.92443,78.42809
2026-05-25,20,완두콩,pm,29.93533,77.75919
