product_name,period,search_ratio,search_keywords
1등급한우,2026-04-25,2.24203,1등급한우
1등급한우,2026-04-26,2.92993,1등급한우
1등급한우,2026-04-27,3.69426,1등급한우
1등급한우,2026-04-28,2.70063,1등급한우
1등급한우,2026-04-29,2.1656,1등급한우
1등급한우,2026-04-30,2.59872,1등급한우
1등급한우,2026-05-01,1.60509,1등급한우
1등급한우,2026-05-02,2.08917,1등급한우
1등급한우,2026-05-03,2.75159,1등급한우
1등급한우,2026-05-04,2.87898,1등급한우
1등급한우,2026-05-05,3.61783,1등급한우
1등급한우,2026-05-06,4.35668,1등급한우
1등급한우,2026-05-07,4.38216,1등급한우
1등급한우,2026-05-08,3.87261,1등급한우
bnr17유산균,2026-04-25,49.0933,bnr17유산균
bnr17유산균,2026-04-26,64.2598,bnr17유산균
bnr17유산균,2026-04-27,59.24826,bnr17유산균
bnr17유산균,2026-04-28,63.17177,bnr17유산균
bnr17유산균,2026-04-29,45.86218,bnr17유산균
bnr17유산균,2026-04-30,42.4662,bnr17유산균
bnr17유산균,2026-05-01,85.06429,bnr17유산균
bnr17유산균,2026-05-02,62.67721,bnr17유산균
bnr17유산균,2026-05-03,100,bnr17유산균
bnr17유산균,2026-05-04,29.93735,bnr17유산균
bnr17유산균,2026-05-05,76.75568,bnr17유산균
bnr17유산균,2026-05-06,56.77546,bnr17유산균
bnr17유산균,2026-05-07,68.44708,bnr17유산균
bnr17유산균,2026-05-08,81.27266,bnr17유산균
cca주스,2026-04-25,18.60809,cca주스
cca주스,2026-04-26,21.27344,cca주스
cca주스,2026-04-27,22.95162,cca주스
cca주스,2026-04-28,22.01382,cca주스
cca주스,2026-04-29,22.35932,cca주스
cca주스,2026-04-30,18.46001,cca주스
cca주스,2026-05-01,19.34846,cca주스
cca주스,2026-05-02,20.33563,cca주스
cca주스,2026-05-03,20.03948,cca주스
cca주스,2026-05-04,21.07601,cca주스
cca주스,2026-05-05,26.11056,cca주스
cca주스,2026-05-06,25.4689,cca주스
cca주스,2026-05-07,23.19842,cca주스
cca주스,2026-05-08,19.34846,cca주스
mbp,2026-04-25,6.25844,mbp
mbp,2026-04-26,10.1981,mbp
mbp,2026-04-27,7.51913,mbp
mbp,2026-04-28,6.10085,mbp
mbp,2026-04-29,6.0108,mbp
mbp,2026-04-30,6.39351,mbp
mbp,2026-05-01,4.99774,mbp
mbp,2026-05-02,9.52273,mbp
mbp,2026-05-03,8.75731,mbp
mbp,2026-05-04,7.51913,mbp
mbp,2026-05-05,6.61864,mbp
mbp,2026-05-06,9.43268,mbp
mbp,2026-05-07,7.02386,mbp
mbp,2026-05-08,13.48491,mbp
간장게장,2026-04-25,41.82981,간장게장
간장게장,2026-04-26,50.55243,간장게장
간장게장,2026-04-27,43.26419,간장게장
간장게장,2026-04-28,43.71002,간장게장
간장게장,2026-04-29,40.76371,간장게장
간장게장,2026-04-30,38.28261,간장게장
간장게장,2026-05-01,50.61058,간장게장
간장게장,2026-05-02,49.38941,간장게장
간장게장,2026-05-03,55.88292,간장게장
간장게장,2026-05-04,49.71893,간장게장
간장게장,2026-05-05,52.74277,간장게장
간장게장,2026-05-06,46.38495,간장게장
간장게장,2026-05-07,48.55592,간장게장
간장게장,2026-05-08,49.79647,간장게장
갈비탕,2026-04-25,67.44067,갈비탕
갈비탕,2026-04-26,80.55626,갈비탕
갈비탕,2026-04-27,60.55116,갈비탕
갈비탕,2026-04-28,57.4126,갈비탕
갈비탕,2026-04-29,56.06021,갈비탕
갈비탕,2026-04-30,53.10028,갈비탕
갈비탕,2026-05-01,73.66675,갈비탕
갈비탕,2026-05-02,74.9681,갈비탕
갈비탕,2026-05-03,100,갈비탕
갈비탕,2026-05-04,73.00331,갈비탕
갈비탕,2026-05-05,78.69354,갈비탕
갈비탕,2026-05-06,55.70298,갈비탕
갈비탕,2026-05-07,61.67389,갈비탕
갈비탕,2026-05-08,65.57795,갈비탕
갑오징어,2026-04-25,30.48678,갑오징어
갑오징어,2026-04-26,27.10868,갑오징어
갑오징어,2026-04-27,40.18044,갑오징어
갑오징어,2026-04-28,38.16617,갑오징어
갑오징어,2026-04-29,31.89257,갑오징어
갑오징어,2026-04-30,29.54259,갑오징어
갑오징어,2026-05-01,34.30549,갑오징어
갑오징어,2026-05-02,33.82291,갑오징어
갑오징어,2026-05-03,33.67603,갑오징어
갑오징어,2026-05-04,30.88543,갑오징어
갑오징어,2026-05-05,30.40285,갑오징어
갑오징어,2026-05-06,38.31305,갑오징어
갑오징어,2026-05-07,35.52245,갑오징어
갑오징어,2026-05-08,32.16533,갑오징어
검은콩두유,2026-04-25,15.01575,검은콩두유
검은콩두유,2026-04-26,17.67221,검은콩두유
검은콩두유,2026-04-27,21.56686,검은콩두유
검은콩두유,2026-04-28,19.56325,검은콩두유
검은콩두유,2026-04-29,17.67221,검은콩두유
검은콩두유,2026-04-30,16.14137,검은콩두유
검은콩두유,2026-05-01,15.30841,검은콩두유
검은콩두유,2026-05-02,14.52048,검은콩두유
검은콩두유,2026-05-03,19.18054,검은콩두유
검은콩두유,2026-05-04,20.05853,검은콩두유
검은콩두유,2026-05-05,18.70778,검은콩두유
검은콩두유,2026-05-06,20.82395,검은콩두유
검은콩두유,2026-05-07,19.24808,검은콩두유
검은콩두유,2026-05-08,16.50157,검은콩두유
견과류,2026-04-25,33.57999,견과류
견과류,2026-04-26,40.6226,견과류
견과류,2026-04-27,45.8025,견과류
견과류,2026-04-28,48.20107,견과류
견과류,2026-04-29,45.93008,견과류
견과류,2026-04-30,36.74406,견과류
견과류,2026-05-01,36.87165,견과류
견과류,2026-05-02,34.88134,견과류
견과류,2026-05-03,44.83286,견과류
견과류,2026-05-04,42.28119,견과류
견과류,2026-05-05,44.96044,견과류
견과류,2026-05-06,52.84511,견과류
견과류,2026-05-07,47.51212,견과류
견과류,2026-05-08,38.98953,견과류
경옥고,2026-04-25,65.47109,경옥고
경옥고,2026-04-26,70.71734,경옥고
