date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-08,1,닭가슴살,pm,38.17624,43.88824
2026-05-08,2,쌀20kg,pm,13.34865,41.90919
2026-05-08,3,쌀10kg,pm,13.18007,41.09429
2026-05-08,4,오메가3,pm,51.97701,40.91967
2026-05-08,5,스승의날선물,pm,100.0,40.51222
2026-05-08,6,참외,pm,17.47189,55.3772
2026-05-08,7,마늘쫑,pm,13.96216,53.29052
2026-05-08,8,창억떡,pm,73.73183,46.14767
2026-05-08,9,파라다이스그레인,pm,88.35755,45.66613
2026-05-08,10,올리브오일,pm,19.59418,45.02407
2026-05-08,11,콘드로이친,pm,8.92879,44.57236
2026-05-08,12,망고,pm,4.87899,43.75
2026-05-08,13,어버이날선물,pm,100.0,42.1875
2026-05-08,14,뉴케어,pm,8.80389,42.02302
2026-05-08,15,콜라겐,pm,3.75087,40.78947
2026-05-08,16,생수,pm,41.13258,49.48875
2026-05-08,17,카네이션쿠키,pm,27.07097,48.364
2026-05-08,18,꽃게,pm,56.09336,47.95501
2026-05-08,19,카무트효소,pm,66.36694,45.91002
2026-05-08,20,사과,pm,48.68949,45.39877
