date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-13,1,스승의날선물,pm,100.0,81.44876
2026-05-13,2,닭가슴살,pm,29.16475,74.20494
2026-05-13,3,쌀20kg,pm,7.7478,73.40989
2026-05-13,4,마늘쫑,pm,12.57662,66.87279
2026-05-13,5,오메가3,pm,29.3107,66.51943
2026-05-13,6,창억떡,pm,86.88785,76.59115
2026-05-13,7,쌀10kg,pm,10.29339,76.15965
2026-05-13,8,참외,pm,19.46805,74.43365
2026-05-13,9,콘드로이친,pm,19.21579,61.05717
2026-05-13,10,계란,pm,15.9638,59.00755
2026-05-13,11,생수,pm,65.19619,82.60211
2026-05-13,12,수박,pm,59.20594,82.60211
2026-05-13,13,사과,pm,63.24587,80.6354
2026-05-13,14,올리브오일,pm,93.54539,78.51739
2026-05-13,15,레몬즙,pm,50.49918,77.91225
2026-05-13,16,콜라겐,pm,38.65877,82.13716
2026-05-13,17,뉴케어,pm,78.69822,80.54226
2026-05-13,18,꽃게,pm,58.84286,78.94736
2026-05-13,19,블루베리,pm,100.0,75.11961
2026-05-13,20,마그네슘,pm,70.1293,74.96012
