date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-05,1,어버이날선물,pm,96.55194,62.63096
2026-05-05,2,쌀20kg,pm,7.00536,52.91036
2026-05-05,3,오메가3,pm,21.37279,49.30151
2026-05-05,4,마늘쫑,pm,9.65647,46.85681
2026-05-05,5,닭가슴살,pm,18.57064,44.52852
2026-05-05,6,쌀10kg,pm,12.84343,49.17355
2026-05-05,7,창억떡,pm,72.76665,49.17355
2026-05-05,8,참외,pm,17.18124,47.6584
2026-05-05,9,콜라겐,pm,9.36111,39.39393
2026-05-05,10,올리브오일,pm,20.2029,38.42975
2026-05-05,11,뉴케어,pm,12.75116,51.10294
2026-05-05,12,카네이션쿠키,pm,3.20852,49.54044
2026-05-05,13,생수,pm,7.47592,47.61029
2026-05-05,14,마그네슘,pm,9.86158,47.51838
2026-05-05,15,촉촉한황치즈칩,pm,20.61299,46.875
2026-05-05,16,콘드로이친,pm,61.77454,47.93233
2026-05-05,17,루테인,pm,22.19636,46.61654
2026-05-05,18,스승의날선물,pm,74.34181,46.05263
2026-05-05,19,감자,pm,26.50181,45.95864
2026-05-05,20,유산균,pm,50.29818,45.67669
