product_name,auction_date,variety_name,unit_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,raw_high_price,raw_low_price
가죽나물,2026-05-02,가죽나물(일반),kg,4440.3,9100.0,1350.0,299.3,29,27,2,10,12000.0,1300.0
가죽나물,2026-05-02,가죽나물,kg,3556.0,8800.0,1200.0,227.8,26,25,1,6,9800.0,1200.0
가죽나물,2026-05-02,가죽,kg,6262.3,8100.0,5000.0,30.5,3,3,0,1,8100.0,5000.0
가죽나물,2026-05-02,가죽나물(표준),kg,6754.8,7000.0,6530.0,21.9,4,4,0,1,7000.0,6530.0
감자,2026-05-02,햇감자,kg,59727.5,74000.0,18000.0,107980.0,87,85,2,1,75000.0,16000.0
감자,2026-05-02,감자,kg,62579.1,75000.0,16500.0,69820.0,130,125,5,4,75000.0,12000.0
감자,2026-05-02,감자(일반),kg,62361.4,72000.0,26000.0,16740.0,43,42,1,2,72000.0,20000.0
고구마,2026-05-02,고구마,kg,26586.7,43000.0,11000.0,22570.0,54,53,1,1,43000.0,9500.0
냉동블루베리,2026-05-02,블루베리,kg,34537.3,55000.0,19300.0,17639.5,1264,1219,45,25,67000.0,2500.0
냉동블루베리,2026-05-02,블루베리(일반),kg,3686.8,17900.0,2800.0,1022.3,120,71,49,2,40000.0,2800.0
냉동블루베리,2026-05-02,블루베리(국산),kg,33082.8,43000.0,21200.0,692.0,70,64,6,3,44000.0,3400.0
냉동블루베리,2026-05-02,국산블루베리,kg,29917.8,40000.0,18000.0,366.0,28,26,2,1,41000.0,16800.0
냉동블루베리,2026-05-02,포도(블루베리),kg,36423.1,43000.0,28000.0,182.0,13,11,2,1,44000.0,27000.0
단호박,2026-05-02,단호박(수입),kg,13350.6,15500.0,11000.0,5950.0,51,50,1,9,16000.0,11000.0
단호박,2026-05-02,단호박,kg,11831.1,22649.0,9500.0,80.0,4,4,0,3,22649.0,9500.0
당근,2026-05-02,당근,kg,27334.7,36000.0,9500.0,59440.0,84,78,6,6,36000.0,3000.0
