product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
감자,2026-05-25,25687.5,30693.8,49000.0,5500.0,397300.0,654,625,29,8,10,3,53000.0,1500.0
고구마,2026-05-25,19141.8,21239.3,33000.0,7000.0,36830.0,152,146,6,2,2,2,36000.0,3000.0
냉동블루베리,2026-05-25,31264.9,31519.3,48500.0,17000.0,25414.0,1654,1500,154,26,59,5,2600000.0,2000.0
당근,2026-05-25,21027.2,21080.6,30500.0,8000.0,209160.0,181,173,8,11,19,3,32500.0,1000.0
딸기,2026-05-25,17127.9,17159.8,24000.0,7000.0,1834.0,90,86,4,1,1,1,25000.0,3500.0
마늘쫑,2026-05-25,11191.4,12592.8,23500.0,2000.0,14555.0,145,134,11,23,39,3,170000.0,1300.0
망고,2026-05-25,52559.3,36346.5,160000.0,10000.0,8399.0,247,243,4,13,18,5,170000.0,5000.0
매실,2026-05-25,19252.1,20125.7,45000.0,4000.0,12475.0,253,234,19,12,17,3,51000.0,600.0
멜론,2026-05-25,29075.0,29798.7,40000.0,16600.0,896.0,8,8,0,3,3,2,40000.0,16600.0
블루베리,2026-05-25,31264.9,31519.3,48500.0,17000.0,25414.0,1654,1500,154,26,59,5,2600000.0,2000.0
산딸기,2026-05-25,13200.8,13150.3,40500.0,3600.0,9463.5,659,641,18,13,30,5,57500.0,3000.0
수박,2026-05-25,19853.0,21308.6,46000.0,4600.0,736111.0,1905,1844,61,18,27,19,63000.0,1800.0
아보카도,2026-05-25,20466.7,19488.5,31200.0,8000.0,3550.0,48,42,6,8,8,1,31200.0,1200.0
양파,2026-05-25,8331.7,8619.2,12800.0,2800.0,985523.5,730,716,14,23,35,9,13200.0,1000.0
오디,2026-05-25,14332.1,12981.5,48000.0,3000.0,5256.5,249,187,62,19,32,3,102000.0,0.0
오이,2026-05-25,21000.0,21000.0,21000.0,21000.0,250.0,1,1,0,1,1,1,21000.0,21000.0
참외,2026-05-25,28770.9,31453.7,48600.0,12000.0,149426.0,2720,2661,59,8,14,6,161000.0,4000.0
참외10kg,2026-05-25,28770.9,31453.7,48600.0,12000.0,149426.0,2720,2661,59,8,14,6,161000.0,4000.0
청매실,2026-05-25,22950.0,21183.3,25600.0,20300.0,120.0,2,2,0,1,1,1,25600.0,20300.0
체리,2026-05-25,15995.7,15459.4,50000.0,6000.0,245.2,32,23,9,6,9,4,140000.0,5000.0
키위,2026-05-25,45274.3,43774.8,60000.0,36000.0,29596.1,217,214,3,10,17,9,60000.0,20000.0
토마토,2026-05-25,10235.2,10999.5,25000.0,2200.0,523650.0,3779,3691,88,26,50,12,7000000.0,0.0
파프리카,2026-05-25,26680.3,22955.6,50000.0,7000.0,6130.8,79,76,3,13,17,5,52000.0,2000.0
