date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-04,1,어버이날선물,pm,100.0,53.37601
2026-05-04,2,쌀20kg,pm,6.92824,51.45518
2026-05-04,3,닭가슴살,pm,18.52244,43.71362
2026-05-04,4,오메가3,pm,21.02895,43.5972
2026-05-04,5,쌀10kg,pm,6.98608,42.43306
2026-05-04,6,참외,pm,15.72803,57.38362
2026-05-04,7,마늘쫑,pm,14.5291,56.98234
2026-05-04,8,창억떡,pm,83.13088,52.72873
2026-05-04,9,콜라겐,pm,9.26013,44.94382
2026-05-04,10,올리브오일,pm,18.85155,44.38202
2026-05-04,11,사과,pm,37.51272,49.35661
2026-05-04,12,마그네슘,pm,43.09818,47.42647
2026-05-04,13,꽃게,pm,39.28727,47.33455
2026-05-04,14,스승의날선물,pm,100.0,46.78308
2026-05-04,15,뉴케어,pm,53.16363,45.86397
2026-05-04,16,콘드로이친,pm,14.6329,46.71052
2026-05-04,17,촉촉한황치즈칩,pm,25.85953,46.42857
2026-05-04,18,마른오징어,pm,8.14569,45.11278
2026-05-04,19,루테인,pm,4.69796,44.73684
2026-05-04,20,망고,pm,7.89691,44.54887
