product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
수박,retail,200,221,00,07,수박,수박,유기농,,수박,수박(1개),제주,E-유통,2026,05/08,-,2026-05-08,2026-05-08,
수박,retail,200,221,00,08,수박,수박,무농약,,수박,수박(1개),제주,E-유통,2026,05/08,"22,900",2026-05-08,2026-05-08,22900.0
수박,wholesale,200,221,00,04,수박,수박,상품,1개,수박,수박(1개),대전,오정도매,2026,05/08,"26,300",2026-05-08,2026-05-08,26300.0
수박,wholesale,200,221,00,05,수박,수박,중품,1개,수박,수박(1개),대전,오정도매,2026,05/08,"21,000",2026-05-08,2026-05-08,21000.0
수박,wholesale,200,221,00,07,수박,수박,유기농,,수박,수박(1개),대전,오정도매,2026,05/08,"26,300",2026-05-08,2026-05-08,26300.0
수박,wholesale,200,221,00,08,수박,수박,무농약,,수박,수박(1개),대전,오정도매,2026,05/08,"21,000",2026-05-08,2026-05-08,21000.0
쌀,retail,100,111,01,04,쌀,20kg,상품,20kg,쌀,20kg(20kg),제주,E-유통,2026,05/08,"60,900",2026-05-08,2026-05-08,60900.0
쌀,retail,100,111,10,04,쌀,10kg,상품,10kg,쌀,10kg(10kg),제주,E-유통,2026,05/08,"38,900",2026-05-08,2026-05-08,38900.0
쌀,wholesale,100,111,01,04,쌀,20kg,상품,20kg,쌀,20kg(20kg),대전,인동,2026,05/08,"61,000",2026-05-08,2026-05-08,61000.0
쌀,wholesale,100,111,01,05,쌀,20kg,중품,20kg,쌀,20kg(20kg),대구,서문,2026,05/08,"57,000",2026-05-08,2026-05-08,57000.0
아몬드,retail,300,319,00,05,아몬드,수입,중품,100g,아몬드,수입(100g),제주,E-유통,2026,05/08,"1,530",2026-05-08,2026-05-08,1530.0
아보카도,retail,400,430,00,04,아보카도,수입,상품,1개,아보카도,수입(1개),제주,E-유통,2026,05/08,"1,990",2026-05-08,2026-05-08,1990.0
오렌지,retail,400,421,03,04,오렌지,네이블 미국,상품,10개,오렌지,네이블 미국(10개),김해,A-유통,2026,05/08,-,2026-05-08,2026-05-08,
오렌지,retail,400,421,03,05,오렌지,네이블 미국,중품,10개,오렌지,네이블 미국(10개),제주,E-유통,2026,05/08,"12,500",2026-05-08,2026-05-08,12500.0
오렌지,wholesale,400,421,03,04,오렌지,네이블 미국,상품,18kg,오렌지,네이블 미국(18kg),대전,오정도매,2026,05/08,"75,800",2026-05-08,2026-05-08,75800.0
오렌지,wholesale,400,421,03,05,오렌지,네이블 미국,중품,18kg,오렌지,네이블 미국(18kg),대전,오정도매,2026,05/08,"72,600",2026-05-08,2026-05-08,72600.0
오렌지,wholesale,400,421,05,04,오렌지,네이블 EU,상품,18kg,오렌지,네이블 EU(18kg),대전,오정도매,2026,05/08,"73,000",2026-05-08,2026-05-08,73000.0
오이,retail,200,223,01,04,오이,가시계통,상품,10개,오이,가시계통(10개),제주,E-유통,2026,05/08,"9,960",2026-05-08,2026-05-08,9960.0
오이,retail,200,223,02,04,오이,다다기계통,상품,10개,오이,다다기계통(10개),제주,E-유통,2026,05/08,"5,610",2026-05-08,2026-05-08,5610.0
오이,retail,200,223,02,05,오이,다다기계통,중품,10개,오이,다다기계통(10개),순천,역전,2026,05/08,-,2026-05-08,2026-05-08,
오이,retail,200,223,02,07,오이,다다기계통,유기농,,오이,다다기계통(10개),제주,E-유통,2026,05/08,"5,610",2026-05-08,2026-05-08,5610.0
오이,retail,200,223,02,08,오이,다다기계통,무농약,,오이,다다기계통(10개),순천,역전,2026,05/08,-,2026-05-08,2026-05-08,
오이,retail,200,223,03,04,오이,취청,상품,10개,오이,취청(10개),안동,C-유통,2026,05/08,"12,400",2026-05-08,2026-05-08,12400.0
오이,wholesale,200,223,01,04,오이,가시계통,상품,10kg,오이,가시계통(10kg),대구,북부도매,2026,05/08,"18,300",2026-05-08,2026-05-08,18300.0
오이,wholesale,200,223,01,05,오이,가시계통,중품,10kg,오이,가시계통(10kg),대구,북부도매,2026,05/08,"12,000",2026-05-08,2026-05-08,12000.0
오이,wholesale,200,223,02,04,오이,다다기계통,상품,100개,오이,다다기계통(100개),대전,오정도매,2026,05/08,"39,300",2026-05-08,2026-05-08,39300.0
오이,wholesale,200,223,02,05,오이,다다기계통,중품,100개,오이,다다기계통(100개),대전,오정도매,2026,05/08,"28,000",2026-05-08,2026-05-08,28000.0
오이,wholesale,200,223,02,07,오이,다다기계통,유기농,,오이,다다기계통(100개),대전,오정도매,2026,05/08,"39,300",2026-05-08,2026-05-08,39300.0
오이,wholesale,200,223,02,08,오이,다다기계통,무농약,,오이,다다기계통(100개),대전,오정도매,2026,05/08,"28,000",2026-05-08,2026-05-08,28000.0
오이,wholesale,200,223,03,04,오이,취청,상품,50개,오이,취청(50개),대전,오정도매,2026,05/08,"20,600",2026-05-08,2026-05-08,20600.0
오이,wholesale,200,223,03,05,오이,취청,중품,50개,오이,취청(50개),대전,오정도매,2026,05/08,"11,600",2026-05-08,2026-05-08,11600.0
전복,retail,600,653,00,05,전복,전복,중품,5마리,전복,전복(5마리),제주,E-유통,2026,05/08,"11,600",2026-05-08,2026-05-08,11600.0
전복,retail,600,653,00,21,전복,전복,中,,전복,전복(5마리),제주,E-유통,2026,05/08,"11,600",2026-05-08,2026-05-08,11600.0
전복,wholesale,600,653,00,05,전복,전복,중품,1kg,전복,전복(1kg),대전,오정도매,2026,05/08,"32,800",2026-05-08,2026-05-08,32800.0
전복,wholesale,600,653,00,21,전복,전복,中,,전복,전복(1kg),대전,오정도매,2026,05/08,"32,800",2026-05-08,2026-05-08,32800.0
참외,retail,200,222,00,04,참외,참외,상품,10개,참외,참외(10개),제주,E-유통,2026,05/08,"21,700",2026-05-08,2026-05-08,21700.0
참외,retail,200,222,00,05,참외,참외,중품,10개,참외,참외(10개),제주,E-유통,2026,05/08,"17,400",2026-05-08,2026-05-08,17400.0
참외,retail,200,222,00,07,참외,참외,유기농,,참외,참외(10개),제주,E-유통,2026,05/08,"21,700",2026-05-08,2026-05-08,21700.0
참외,retail,200,222,00,08,참외,참외,무농약,,참외,참외(10개),제주,E-유통,2026,05/08,"17,400",2026-05-08,2026-05-08,17400.0
참외,wholesale,200,222,00,04,참외,참외,상품,10kg,참외,참외(10kg),대전,오정도매,2026,05/08,"44,000",2026-05-08,2026-05-08,44000.0
참외,wholesale,200,222,00,05,참외,참외,중품,10kg,참외,참외(10kg),대전,오정도매,2026,05/08,"40,700",2026-05-08,2026-05-08,40700.0
참외,wholesale,200,222,00,07,참외,참외,유기농,,참외,참외(10kg),대전,오정도매,2026,05/08,"44,000",2026-05-08,2026-05-08,44000.0
참외,wholesale,200,222,00,08,참외,참외,무농약,,참외,참외(10kg),대전,오정도매,2026,05/08,"40,700",2026-05-08,2026-05-08,40700.0
체리,retail,400,425,00,04,체리,수입,상품,100g,체리,수입(100g),창원,C-유통,2026,05/08,"3,790",2026-05-08,2026-05-08,3790.0
체리,wholesale,400,425,00,04,체리,수입,상품,5kg,체리,수입(5kg),대전,오정도매,2026,05/08,"122,000",2026-05-08,2026-05-08,122000.0
토마토,retail,200,225,00,04,토마토,토마토,상품,1kg,토마토,토마토(1kg),제주,E-유통,2026,05/08,"2,640",2026-05-08,2026-05-08,2640.0
토마토,retail,200,225,00,07,토마토,토마토,유기농,,토마토,토마토(1kg),제주,E-유통,2026,05/08,"2,640",2026-05-08,2026-05-08,2640.0
토마토,wholesale,200,225,00,04,토마토,토마토,상품,5kg,토마토,토마토(5kg),대전,오정도매,2026,05/08,"14,000",2026-05-08,2026-05-08,14000.0
토마토,wholesale,200,225,00,05,토마토,토마토,중품,5kg,토마토,토마토(5kg),대전,오정도매,2026,05/08,"11,600",2026-05-08,2026-05-08,11600.0
토마토,wholesale,200,225,00,07,토마토,토마토,유기농,,토마토,토마토(5kg),대전,오정도매,2026,05/08,"14,000",2026-05-08,2026-05-08,14000.0
토마토,wholesale,200,225,00,08,토마토,토마토,무농약,,토마토,토마토(5kg),대전,오정도매,2026,05/08,"11,600",2026-05-08,2026-05-08,11600.0
호두,retail,300,318,00,05,호두,수입,중품,100g,호두,수입(100g),제주,E-유통,2026,05/08,"1,420",2026-05-08,2026-05-08,1420.0
