product_name,reason
삼육두유,KAMIS 코드표 매칭 없음
키위,KAMIS 코드표 매칭 없음
계란30구,KAMIS 코드표 매칭 없음
루테인지아잔틴,KAMIS 코드표 매칭 없음
암꽃게,KAMIS 코드표 매칭 없음
쥐포,KAMIS 코드표 매칭 없음
빅토리아탄산수,KAMIS 코드표 매칭 없음
떡,KAMIS 코드표 매칭 없음
오쏘몰이뮨,KAMIS 코드표 매칭 없음
포스파티딜세린,KAMIS 코드표 매칭 없음
고추장,KAMIS 코드표 매칭 없음
산삼,KAMIS 코드표 매칭 없음
갑오징어,KAMIS 코드표 매칭 없음
락토핏유산균,KAMIS 코드표 매칭 없음
캐슈넛,KAMIS 코드표 매칭 없음
피크노제놀,KAMIS 코드표 매칭 없음
마시는샐러드,KAMIS 코드표 매칭 없음
밀크씨슬,KAMIS 코드표 매칭 없음
비타민b,KAMIS 코드표 매칭 없음
신비복숭아,KAMIS 코드표 매칭 없음
자두,KAMIS 코드표 매칭 없음
카누,KAMIS 코드표 매칭 없음
cca주스,KAMIS 코드표 매칭 없음
학가산김치,KAMIS 코드표 매칭 없음
덴마크유산균,KAMIS 코드표 매칭 없음
비피더스유산균,KAMIS 코드표 매칭 없음
오트밀,KAMIS 코드표 매칭 없음
죽염,KAMIS 코드표 매칭 없음
꿀,KAMIS 코드표 매칭 없음
네스프레소캡슐,KAMIS 코드표 매칭 없음
화과자,KAMIS 코드표 매칭 없음
다크초콜릿,KAMIS 코드표 매칭 없음
대마종자유,KAMIS 코드표 매칭 없음
비트즙,KAMIS 코드표 매칭 없음
쪼갠매실,KAMIS 코드표 매칭 없음
맥주효모,KAMIS 코드표 매칭 없음
삼다수500ml,KAMIS 코드표 매칭 없음
g7블랙커피,KAMIS 코드표 매칭 없음
