product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,corp_count,raw_high_price,raw_low_price
당근,2026-05-11,210009,부산반여,21652.4,30000.0,14000.0,5040.0,6,6,0,2,30000.0,14000.0
당근,2026-05-11,380101,창원팔용,27245.0,30500.0,21800.0,4000.0,22,20,2,1,30500.0,1500.0
당근,2026-05-11,380303,창원내서,3000.0,3000.0,3000.0,260.0,2,2,0,1,3000.0,3000.0
당근,2026-05-11,320201,원주,31000.0,31000.0,31000.0,200.0,1,1,0,1,31000.0,31000.0
당근,2026-05-11,330201,충주,1190.0,1190.0,1190.0,8.0,1,1,0,1,1190.0,1190.0
딸기,2026-05-11,380303,창원내서,3609.3,12500.0,1000.0,2233.0,67,65,2,1,14200.0,500.0
딸기,2026-05-11,230001,인천남촌,18301.0,23000.0,9500.0,804.0,59,46,13,1,24000.0,2000.0
딸기,2026-05-11,210009,부산반여,5632.6,9000.0,2000.0,389.0,16,15,1,1,15800.0,2000.0
딸기,2026-05-11,230003,인천삼산,5525.3,7000.0,2500.0,99.0,8,8,0,1,7000.0,2500.0
마늘쫑,2026-05-11,220001,대구북부,1153.7,1970.0,800.0,54354.0,156,151,5,5,12000.0,700.0
마늘쫑,2026-05-11,110001,서울가락,25547.0,75000.0,8500.0,18803.0,71,68,3,4,104000.0,1100.0
마늘쫑,2026-05-11,250001,대전오정,9099.8,26000.0,7500.0,17632.0,58,49,9,2,181500.0,3000.0
마늘쫑,2026-05-11,330101,청주,13021.8,15300.0,11000.0,5715.0,26,23,3,2,185000.0,9300.0
마늘쫑,2026-05-11,110008,서울강서,16632.5,18000.0,15500.0,4710.0,33,18,15,3,18000.0,1000.0
마늘쫑,2026-05-11,240001,광주각화,11253.0,14400.0,2000.0,3966.0,100,97,3,3,14600.0,1800.0
마늘쫑,2026-05-11,240004,광주서부,11093.1,14600.0,2300.0,3917.0,133,129,4,3,15700.0,1600.0
마늘쫑,2026-05-11,230003,인천삼산,15983.0,20000.0,5000.0,3884.0,34,34,0,3,20000.0,5000.0
