date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-31,1,매실,pm,60.21771,93.30049
2026-05-31,2,쌀10kg,pm,28.5997,81.47783
2026-05-31,3,쌀20kg,pm,24.86392,80.78817
2026-05-31,4,닭가슴살,pm,69.32211,69.45812
2026-05-31,5,오메가3,pm,72.32805,64.33497
2026-05-31,6,탄산수,pm,58.81645,87.37997
2026-05-31,7,수박,pm,100.0,85.04801
2026-05-31,8,복숭아,pm,60.93336,77.91495
2026-05-31,9,참외,pm,65.79263,77.22908
2026-05-31,10,산딸기,pm,93.02381,73.52537
2026-05-31,11,생수,pm,55.45324,74.38494
2026-05-31,12,올리브오일,pm,78.98506,74.38494
2026-05-31,13,꽃게,pm,45.4471,69.75397
2026-05-31,14,블루베리,pm,100.0,68.45151
2026-05-31,15,참외10kg,pm,14.01677,68.45151
2026-05-31,16,계란,pm,29.11824,70.99697
2026-05-31,17,마늘쫑,pm,17.38609,70.5438
2026-05-31,18,감자,pm,22.39439,69.93957
2026-05-31,19,오디,pm,31.86681,69.18429
2026-05-31,20,창억떡,pm,57.8491,67.97583
